Sex, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Maramures, Year 2011, Number of persons, 296
Total, Maramures, Year 2012, Number of persons, 310
Total, Maramures, Year 2013, Number of persons, 374
Total, Maramures, Year 2014, Number of persons, 273
Total, Maramures, Year 2015, Number of persons, 330
Total, Maramures, Year 2016, Number of persons, 466
Total, Maramures, Year 2017, Number of persons, 482
Total, Maramures, Year 2018, Number of persons, 550
Total, Maramures, Year 2019, Number of persons, 448
Total, Maramures, Year 2020, Number of persons, 393
Total, Maramures, Year 2021, Number of persons, 662
Total, Maramures, Year 2022, Number of persons, 897
Total, Maramures, Year 2023, Number of persons, 849
Total, Maramures, Year 2024, Number of persons, 586
Total, Satu Mare, Year 1990, Number of persons, 3084
Total, Satu Mare, Year 1991, Number of persons, 1663
Total, Satu Mare, Year 1992, Number of persons, 1338
Total, Satu Mare, Year 1993, Number of persons, 665
Total, Satu Mare, Year 1994, Number of persons, 806
Total, Satu Mare, Year 1995, Number of persons, 871
Total, Satu Mare, Year 1996, Number of persons, 868
Total, Satu Mare, Year 1997, Number of persons, 708
Total, Satu Mare, Year 1998, Number of persons, 497
Total, Satu Mare, Year 1999, Number of persons, 344
Total, Satu Mare, Year 2000, Number of persons, 544
Total, Satu Mare, Year 2001, Number of persons, 267
Total, Satu Mare, Year 2002, Number of persons, 245
Total, Satu Mare, Year 2003, Number of persons, 322
Total, Satu Mare, Year 2004, Number of persons, 463
Total, Satu Mare, Year 2005, Number of persons, 338
Total, Satu Mare, Year 2006, Number of persons, 398
Total, Satu Mare, Year 2007, Number of persons, 188
Total, Satu Mare, Year 2008, Number of persons, 208
Total, Satu Mare, Year 2009, Number of persons, 158
Total, Satu Mare, Year 2010, Number of persons, 155
Total, Satu Mare, Year 2011, Number of persons, 296
Total, Satu Mare, Year 2012, Number of persons, 254
Total, Satu Mare, Year 2013, Number of persons, 273
Total, Satu Mare, Year 2014, Number of persons, 218
Total, Satu Mare, Year 2015, Number of persons, 410
Total, Satu Mare, Year 2016, Number of persons, 447
Total, Satu Mare, Year 2017, Number of persons, 433
Total, Satu Mare, Year 2018, Number of persons, 479
Total, Satu Mare, Year 2019, Number of persons, 499
Total, Satu Mare, Year 2020, Number of persons, 284
Total, Satu Mare, Year 2021, Number of persons, 510
Total, Satu Mare, Year 2022, Number of persons, 609
Total, Satu Mare, Year 2023, Number of persons, 563
Total, Satu Mare, Year 2024, Number of persons, 457
Total, Salaj, Year 1990, Number of persons, 423
Total, Salaj, Year 1991, Number of persons, 340
Total, Salaj, Year 1992, Number of persons, 267
Total, Salaj, Year 1993, Number of persons, 127
Total, Salaj, Year 1994, Number of persons, 111
Total, Salaj, Year 1995, Number of persons, 225
Total, Salaj, Year 1996, Number of persons, 166
Total, Salaj, Year 1997, Number of persons, 175
Total, Salaj, Year 1998, Number of persons, 163
Total, Salaj, Year 1999, Number of persons, 107
Total, Salaj, Year 2000, Number of persons, 139
Total, Salaj, Year 2001, Number of persons, 132
Total, Salaj, Year 2002, Number of persons, 125
Total, Salaj, Year 2003, Number of persons, 100
Total, Salaj, Year 2004, Number of persons, 122
Total, Salaj, Year 2005, Number of persons, 78
Total, Salaj, Year 2006, Number of persons, 80
Total, Salaj, Year 2007, Number of persons, 39
Total, Salaj, Year 2008, Number of persons, 67
Total, Salaj, Year 2009, Number of persons, 58
Total, Salaj, Year 2010, Number of persons, 61
Total, Salaj, Year 2011, Number of persons, 107
Total, Salaj, Year 2012, Number of persons, 102
Total, Salaj, Year 2013, Number of persons, 120
Total, Salaj, Year 2014, Number of persons, 64
Total, Salaj, Year 2015, Number of persons, 69
Total, Salaj, Year 2016, Number of persons, 132
Total, Salaj, Year 2017, Number of persons, 117
Total, Salaj, Year 2018, Number of persons, 166
Total, Salaj, Year 2019, Number of persons, 153
Total, Salaj, Year 2020, Number of persons, 130
Total, Salaj, Year 2021, Number of persons, 213
Total, Salaj, Year 2022, Number of persons, 252
Total, Salaj, Year 2023, Number of persons, 239
Total, Salaj, Year 2024, Number of persons, 179
Total, Alba, Year 1990, Number of persons, 2773
Total, Alba, Year 1991, Number of persons, 1197
Total, Alba, Year 1992, Number of persons, 625
Total, Alba, Year 1993, Number of persons, 545
Total, Alba, Year 1994, Number of persons, 272
Total, Alba, Year 1995, Number of persons, 466
Total, Alba, Year 1996, Number of persons, 330
Total, Alba, Year 1997, Number of persons, 309
Total, Alba, Year 1998, Number of persons, 184
Total, Alba, Year 1999, Number of persons, 158
Total, Alba, Year 2000, Number of persons, 187
Total, Alba, Year 2001, Number of persons, 125
Total, Alba, Year 2002, Number of persons, 86
Total, Alba, Year 2003, Number of persons, 168
Total, Alba, Year 2004, Number of persons, 189
Total, Alba, Year 2005, Number of persons, 146
Total, Alba, Year 2006, Number of persons, 239
Total, Alba, Year 2007, Number of persons, 142
Total, Alba, Year 2008, Number of persons, 153
Total, Alba, Year 2009, Number of persons, 155
Total, Alba, Year 2010, Number of persons, 105
Total, Alba, Year 2011, Number of persons, 241
Total, Alba, Year 2012, Number of persons, 287
Total, Alba, Year 2013, Number of persons, 262
Total, Alba, Year 2014, Number of persons, 161
Total, Alba, Year 2015, Number of persons, 193
Total, Alba, Year 2016, Number of persons, 288
Total, Alba, Year 2017, Number of persons, 314
Total, Alba, Year 2018, Number of persons, 396
Total, Alba, Year 2019, Number of persons, 374
Total, Alba, Year 2020, Number of persons, 267
Total, Alba, Year 2021, Number of persons, 444
Total, Alba, Year 2022, Number of persons, 573
Total, Alba, Year 2023, Number of persons, 513
Total, Alba, Year 2024, Number of persons, 379
Total, Brasov, Year 1990, Number of persons, 8925
Total, Brasov, Year 1991, Number of persons, 3499
Total, Brasov, Year 1992, Number of persons, 1993
Total, Brasov, Year 1993, Number of persons, 1231
Total, Brasov, Year 1994, Number of persons, 1037
Total, Brasov, Year 1995, Number of persons, 1521
Total, Brasov, Year 1996, Number of persons, 1171
Total, Brasov, Year 1997, Number of persons, 1304
Total, Brasov, Year 1998, Number of persons, 905
Total, Brasov, Year 1999, Number of persons, 703
Total, Brasov, Year 2000, Number of persons, 974
Total, Brasov, Year 2001, Number of persons, 637
Total, Brasov, Year 2002, Number of persons, 517
Total, Brasov, Year 2003, Number of persons, 640
Total, Brasov, Year 2004, Number of persons, 754
Total, Brasov, Year 2005, Number of persons, 667
Total, Brasov, Year 2006, Number of persons, 831
Total, Brasov, Year 2007, Number of persons, 557
Total, Brasov, Year 2008, Number of persons, 502
Total, Brasov, Year 2009, Number of persons, 580
Total, Brasov, Year 2010, Number of persons, 374
Total, Brasov, Year 2011, Number of persons, 555
Total, Brasov, Year 2012, Number of persons, 474
Total, Brasov, Year 2013, Number of persons, 550
Total, Brasov, Year 2014, Number of persons, 421
Total, Brasov, Year 2015, Number of persons, 641
Total, Brasov, Year 2016, Number of persons, 934
Total, Brasov, Year 2017, Number of persons, 1000
Total, Brasov, Year 2018, Number of persons, 1126
Total, Brasov, Year 2019, Number of persons, 1030
Total, Brasov, Year 2020, Number of persons, 722
Total, Brasov, Year 2021, Number of persons, 1135
Total, Brasov, Year 2022, Number of persons, 1622
Total, Brasov, Year 2023, Number of persons, 1452
Total, Brasov, Year 2024, Number of persons, 1238
Total, Covasna, Year 1990, Number of persons, 766
Total, Covasna, Year 1991, Number of persons, 540
Total, Covasna, Year 1992, Number of persons, 486
Total, Covasna, Year 1993, Number of persons, 177
Total, Covasna, Year 1994, Number of persons, 174
Total, Covasna, Year 1995, Number of persons, 308
Total, Covasna, Year 1996, Number of persons, 203
Total, Covasna, Year 1997, Number of persons, 183
Total, Covasna, Year 1998, Number of persons, 113
Total, Covasna, Year 1999, Number of persons, 75
Total, Covasna, Year 2000, Number of persons, 111
Total, Covasna, Year 2001, Number of persons, 72
Total, Covasna, Year 2002, Number of persons, 65
Total, Covasna, Year 2003, Number of persons, 74
Total, Covasna, Year 2004, Number of persons, 121
Total, Covasna, Year 2005, Number of persons, 104
Total, Covasna, Year 2006, Number of persons, 125
Total, Covasna, Year 2007, Number of persons, 78
Total, Covasna, Year 2008, Number of persons, 56
Total, Covasna, Year 2009, Number of persons, 69
Total, Covasna, Year 2010, Number of persons, 65
Total, Covasna, Year 2011, Number of persons, 110
Total, Covasna, Year 2012, Number of persons, 73
Total, Covasna, Year 2013, Number of persons, 99
Total, Covasna, Year 2014, Number of persons, 65
Total, Covasna, Year 2015, Number of persons, 80
Total, Covasna, Year 2016, Number of persons, 113
Total, Covasna, Year 2017, Number of persons, 88
Total, Covasna, Year 2018, Number of persons, 108
Total, Covasna, Year 2019, Number of persons, 120
Total, Covasna, Year 2020, Number of persons, 60
Total, Covasna, Year 2021, Number of persons, 126
Total, Covasna, Year 2022, Number of persons, 158
Total, Covasna, Year 2023, Number of persons, 174
Total, Covasna, Year 2024, Number of persons, 132
Total, Harghita, Year 1990, Number of persons, 1448
Total, Harghita, Year 1991, Number of persons, 1076
Total, Harghita, Year 1992, Number of persons, 916
Total, Harghita, Year 1993, Number of persons, 407
Total, Harghita, Year 1994, Number of persons, 379
Total, Harghita, Year 1995, Number of persons, 722
Total, Harghita, Year 1996, Number of persons, 362
Total, Harghita, Year 1997, Number of persons, 322
Total, Harghita, Year 1998, Number of persons, 213
Total, Harghita, Year 1999, Number of persons, 146
Total, Harghita, Year 2000, Number of persons, 179
Total, Harghita, Year 2001, Number of persons, 154
Total, Harghita, Year 2002, Number of persons, 160
Total, Harghita, Year 2003, Number of persons, 182
Total, Harghita, Year 2004, Number of persons, 402
Total, Harghita, Year 2005, Number of persons, 308
Total, Harghita, Year 2006, Number of persons, 290
Total, Harghita, Year 2007, Number of persons, 103
Total, Harghita, Year 2008, Number of persons, 108
