Sex, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Suceava, Year 2016, Number of persons, 539
Total, Suceava, Year 2017, Number of persons, 530
Total, Suceava, Year 2018, Number of persons, 658
Total, Suceava, Year 2019, Number of persons, 691
Total, Suceava, Year 2020, Number of persons, 569
Total, Suceava, Year 2021, Number of persons, 1044
Total, Suceava, Year 2022, Number of persons, 1290
Total, Suceava, Year 2023, Number of persons, 1386
Total, Suceava, Year 2024, Number of persons, 1478
Total, Vaslui, Year 1990, Number of persons, 65
Total, Vaslui, Year 1991, Number of persons, 186
Total, Vaslui, Year 1992, Number of persons, 62
Total, Vaslui, Year 1993, Number of persons, 27
Total, Vaslui, Year 1994, Number of persons, 41
Total, Vaslui, Year 1995, Number of persons, 84
Total, Vaslui, Year 1996, Number of persons, 96
Total, Vaslui, Year 1997, Number of persons, 106
Total, Vaslui, Year 1998, Number of persons, 102
Total, Vaslui, Year 1999, Number of persons, 86
Total, Vaslui, Year 2000, Number of persons, 118
Total, Vaslui, Year 2001, Number of persons, 50
Total, Vaslui, Year 2002, Number of persons, 28
Total, Vaslui, Year 2003, Number of persons, 59
Total, Vaslui, Year 2004, Number of persons, 107
Total, Vaslui, Year 2005, Number of persons, 79
Total, Vaslui, Year 2006, Number of persons, 96
Total, Vaslui, Year 2007, Number of persons, 100
Total, Vaslui, Year 2008, Number of persons, 94
Total, Vaslui, Year 2009, Number of persons, 121
Total, Vaslui, Year 2010, Number of persons, 105
Total, Vaslui, Year 2011, Number of persons, 221
Total, Vaslui, Year 2012, Number of persons, 239
Total, Vaslui, Year 2013, Number of persons, 298
Total, Vaslui, Year 2014, Number of persons, 260
Total, Vaslui, Year 2015, Number of persons, 311
Total, Vaslui, Year 2016, Number of persons, 527
Total, Vaslui, Year 2017, Number of persons, 544
Total, Vaslui, Year 2018, Number of persons, 755
Total, Vaslui, Year 2019, Number of persons, 911
Total, Vaslui, Year 2020, Number of persons, 869
Total, Vaslui, Year 2021, Number of persons, 1509
Total, Vaslui, Year 2022, Number of persons, 2520
Total, Vaslui, Year 2023, Number of persons, 3378
Total, Vaslui, Year 2024, Number of persons, 5338
Total, Braila, Year 1990, Number of persons, 132
Total, Braila, Year 1991, Number of persons, 142
Total, Braila, Year 1992, Number of persons, 67
Total, Braila, Year 1993, Number of persons, 43
Total, Braila, Year 1994, Number of persons, 61
Total, Braila, Year 1995, Number of persons, 121
Total, Braila, Year 1996, Number of persons, 110
Total, Braila, Year 1997, Number of persons, 108
Total, Braila, Year 1998, Number of persons, 92
Total, Braila, Year 1999, Number of persons, 66
Total, Braila, Year 2000, Number of persons, 137
Total, Braila, Year 2001, Number of persons, 82
Total, Braila, Year 2002, Number of persons, 55
Total, Braila, Year 2003, Number of persons, 77
Total, Braila, Year 2004, Number of persons, 88
Total, Braila, Year 2005, Number of persons, 88
Total, Braila, Year 2006, Number of persons, 113
Total, Braila, Year 2007, Number of persons, 93
Total, Braila, Year 2008, Number of persons, 94
Total, Braila, Year 2009, Number of persons, 135
Total, Braila, Year 2010, Number of persons, 92
Total, Braila, Year 2011, Number of persons, 183
Total, Braila, Year 2012, Number of persons, 211
Total, Braila, Year 2013, Number of persons, 218
Total, Braila, Year 2014, Number of persons, 167
Total, Braila, Year 2015, Number of persons, 210
Total, Braila, Year 2016, Number of persons, 334
Total, Braila, Year 2017, Number of persons, 370
Total, Braila, Year 2018, Number of persons, 420
Total, Braila, Year 2019, Number of persons, 401
Total, Braila, Year 2020, Number of persons, 344
Total, Braila, Year 2021, Number of persons, 498
Total, Braila, Year 2022, Number of persons, 642
Total, Braila, Year 2023, Number of persons, 576
Total, Braila, Year 2024, Number of persons, 428
Total, Buzau, Year 1990, Number of persons, 164
Total, Buzau, Year 1991, Number of persons, 493
Total, Buzau, Year 1992, Number of persons, 57
Total, Buzau, Year 1993, Number of persons, 77
Total, Buzau, Year 1994, Number of persons, 89
Total, Buzau, Year 1995, Number of persons, 80
Total, Buzau, Year 1996, Number of persons, 123
Total, Buzau, Year 1997, Number of persons, 117
Total, Buzau, Year 1998, Number of persons, 133
Total, Buzau, Year 1999, Number of persons, 80
Total, Buzau, Year 2000, Number of persons, 99
Total, Buzau, Year 2001, Number of persons, 92
Total, Buzau, Year 2002, Number of persons, 73
Total, Buzau, Year 2003, Number of persons, 70
Total, Buzau, Year 2004, Number of persons, 79
Total, Buzau, Year 2005, Number of persons, 89
Total, Buzau, Year 2006, Number of persons, 94
Total, Buzau, Year 2007, Number of persons, 97
Total, Buzau, Year 2008, Number of persons, 83
Total, Buzau, Year 2009, Number of persons, 89
Total, Buzau, Year 2010, Number of persons, 82
Total, Buzau, Year 2011, Number of persons, 157
Total, Buzau, Year 2012, Number of persons, 133
Total, Buzau, Year 2013, Number of persons, 243
Total, Buzau, Year 2014, Number of persons, 134
Total, Buzau, Year 2015, Number of persons, 177
Total, Buzau, Year 2016, Number of persons, 312
Total, Buzau, Year 2017, Number of persons, 297
Total, Buzau, Year 2018, Number of persons, 343
Total, Buzau, Year 2019, Number of persons, 361
Total, Buzau, Year 2020, Number of persons, 274
Total, Buzau, Year 2021, Number of persons, 418
Total, Buzau, Year 2022, Number of persons, 585
Total, Buzau, Year 2023, Number of persons, 574
Total, Buzau, Year 2024, Number of persons, 447
Total, Constanta, Year 1990, Number of persons, 921
Total, Constanta, Year 1991, Number of persons, 659
Total, Constanta, Year 1992, Number of persons, 460
Total, Constanta, Year 1993, Number of persons, 303
Total, Constanta, Year 1994, Number of persons, 383
Total, Constanta, Year 1995, Number of persons, 462
Total, Constanta, Year 1996, Number of persons, 415
Total, Constanta, Year 1997, Number of persons, 479
Total, Constanta, Year 1998, Number of persons, 369
Total, Constanta, Year 1999, Number of persons, 369
Total, Constanta, Year 2000, Number of persons, 516
Total, Constanta, Year 2001, Number of persons, 257
Total, Constanta, Year 2002, Number of persons, 210
Total, Constanta, Year 2003, Number of persons, 204
Total, Constanta, Year 2004, Number of persons, 276
Total, Constanta, Year 2005, Number of persons, 300
Total, Constanta, Year 2006, Number of persons, 325
Total, Constanta, Year 2007, Number of persons, 217
Total, Constanta, Year 2008, Number of persons, 248
Total, Constanta, Year 2009, Number of persons, 331
Total, Constanta, Year 2010, Number of persons, 258
Total, Constanta, Year 2011, Number of persons, 423
Total, Constanta, Year 2012, Number of persons, 487
Total, Constanta, Year 2013, Number of persons, 568
Total, Constanta, Year 2014, Number of persons, 444
Total, Constanta, Year 2015, Number of persons, 527
Total, Constanta, Year 2016, Number of persons, 852
Total, Constanta, Year 2017, Number of persons, 883
Total, Constanta, Year 2018, Number of persons, 1063
Total, Constanta, Year 2019, Number of persons, 964
Total, Constanta, Year 2020, Number of persons, 727
Total, Constanta, Year 2021, Number of persons, 1246
Total, Constanta, Year 2022, Number of persons, 1535
Total, Constanta, Year 2023, Number of persons, 1308
Total, Constanta, Year 2024, Number of persons, 937
Total, Galati, Year 1990, Number of persons, 213
Total, Galati, Year 1991, Number of persons, 237
Total, Galati, Year 1992, Number of persons, 182
Total, Galati, Year 1993, Number of persons, 137
Total, Galati, Year 1994, Number of persons, 141
Total, Galati, Year 1995, Number of persons, 339
Total, Galati, Year 1996, Number of persons, 261
Total, Galati, Year 1997, Number of persons, 239
Total, Galati, Year 1998, Number of persons, 204
Total, Galati, Year 1999, Number of persons, 154
Total, Galati, Year 2000, Number of persons, 176
Total, Galati, Year 2001, Number of persons, 161
Total, Galati, Year 2002, Number of persons, 128
Total, Galati, Year 2003, Number of persons, 202
Total, Galati, Year 2004, Number of persons, 347
Total, Galati, Year 2005, Number of persons, 331
Total, Galati, Year 2006, Number of persons, 427
Total, Galati, Year 2007, Number of persons, 230
Total, Galati, Year 2008, Number of persons, 269
Total, Galati, Year 2009, Number of persons, 291
Total, Galati, Year 2010, Number of persons, 235
Total, Galati, Year 2011, Number of persons, 490
Total, Galati, Year 2012, Number of persons, 480
Total, Galati, Year 2013, Number of persons, 504
Total, Galati, Year 2014, Number of persons, 418
Total, Galati, Year 2015, Number of persons, 537
Total, Galati, Year 2016, Number of persons, 831
Total, Galati, Year 2017, Number of persons, 878
Total, Galati, Year 2018, Number of persons, 1096
Total, Galati, Year 2019, Number of persons, 1141
Total, Galati, Year 2020, Number of persons, 860
Total, Galati, Year 2021, Number of persons, 1477
Total, Galati, Year 2022, Number of persons, 2367
Total, Galati, Year 2023, Number of persons, 2593
Total, Galati, Year 2024, Number of persons, 3094
Total, Tulcea, Year 1990, Number of persons, 95
Total, Tulcea, Year 1991, Number of persons, 135
Total, Tulcea, Year 1992, Number of persons, 62
Total, Tulcea, Year 1993, Number of persons, 49
Total, Tulcea, Year 1994, Number of persons, 54
Total, Tulcea, Year 1995, Number of persons, 83
Total, Tulcea, Year 1996, Number of persons, 70
Total, Tulcea, Year 1997, Number of persons, 75
Total, Tulcea, Year 1998, Number of persons, 74
Total, Tulcea, Year 1999, Number of persons, 68
Total, Tulcea, Year 2000, Number of persons, 73
Total, Tulcea, Year 2001, Number of persons, 57
Total, Tulcea, Year 2002, Number of persons, 42
Total, Tulcea, Year 2003, Number of persons, 52
Total, Tulcea, Year 2004, Number of persons, 48
Total, Tulcea, Year 2005, Number of persons, 50
Total, Tulcea, Year 2006, Number of persons, 52
Total, Tulcea, Year 2007, Number of persons, 54
Total, Tulcea, Year 2008, Number of persons, 63
Total, Tulcea, Year 2009, Number of persons, 60
Total, Tulcea, Year 2010, Number of persons, 59
Total, Tulcea, Year 2011, Number of persons, 102
Total, Tulcea, Year 2012, Number of persons, 148
Total, Tulcea, Year 2013, Number of persons, 183
Total, Tulcea, Year 2014, Number of persons, 147
Total, Tulcea, Year 2015, Number of persons, 160
Total, Tulcea, Year 2016, Number of persons, 285
Total, Tulcea, Year 2017, Number of persons, 290
Total, Tulcea, Year 2018, Number of persons, 304
Total, Tulcea, Year 2019, Number of persons, 313
Total, Tulcea, Year 2020, Number of persons, 246
Total, Tulcea, Year 2021, Number of persons, 378
Total, Tulcea, Year 2022, Number of persons, 456
Total, Tulcea, Year 2023, Number of persons, 501
Total, Tulcea, Year 2024, Number of persons, 374
Total, Vrancea, Year 1990, Number of persons, 123
Total, Vrancea, Year 1991, Number of persons, 110
Total, Vrancea, Year 1992, Number of persons, 45
Total, Vrancea, Year 1993, Number of persons, 43
Total, Vrancea, Year 1994, Number of persons, 50
Total, Vrancea, Year 1995, Number of persons, 101
Total, Vrancea, Year 1996, Number of persons, 134
Total, Vrancea, Year 1997, Number of persons, 184
Total, Vrancea, Year 1998, Number of persons, 133
Total, Vrancea, Year 1999, Number of persons, 120
Total, Vrancea, Year 2000, Number of persons, 212
Total, Vrancea, Year 2001, Number of persons, 164
Total, Vrancea, Year 2002, Number of persons, 124
Total, Vrancea, Year 2003, Number of persons, 221
Total, Vrancea, Year 2004, Number of persons, 201
Total, Vrancea, Year 2005, Number of persons, 302
Total, Vrancea, Year 2006, Number of persons, 349
Total, Vrancea, Year 2007, Number of persons, 172
Total, Vrancea, Year 2008, Number of persons, 124
Total, Vrancea, Year 2009, Number of persons, 132
Total, Vrancea, Year 2010, Number of persons, 104
Total, Vrancea, Year 2011, Number of persons, 196
Total, Vrancea, Year 2012, Number of persons, 161
Total, Vrancea, Year 2013, Number of persons, 178
Total, Vrancea, Year 2014, Number of persons, 171
Total, Vrancea, Year 2015, Number of persons, 212
Total, Vrancea, Year 2016, Number of persons, 332
Total, Vrancea, Year 2017, Number of persons, 316
Total, Vrancea, Year 2018, Number of persons, 413
Total, Vrancea, Year 2019, Number of persons, 384
Total, Vrancea, Year 2020, Number of persons, 262
Total, Vrancea, Year 2021, Number of persons, 450
Total, Vrancea, Year 2022, Number of persons, 695
Total, Vrancea, Year 2023, Number of persons, 800
Total, Vrancea, Year 2024, Number of persons, 596
Total, Arges, Year 1990, Number of persons, 270
Total, Arges, Year 1991, Number of persons, 321
Total, Arges, Year 1992, Number of persons, 116
Total, Arges, Year 1993, Number of persons, 94
Total, Arges, Year 1994, Number of persons, 140
Total, Arges, Year 1995, Number of persons, 313
Total, Arges, Year 1996, Number of persons, 251
Total, Arges, Year 1997, Number of persons, 262
Total, Arges, Year 1998, Number of persons, 222
Total, Arges, Year 1999, Number of persons, 185
Total, Arges, Year 2000, Number of persons, 201
Total, Arges, Year 2001, Number of persons, 147
Total, Arges, Year 2002, Number of persons, 99
Total, Arges, Year 2003, Number of persons, 79
Total, Arges, Year 2004, Number of persons, 99
Total, Arges, Year 2005, Number of persons, 85
Total, Arges, Year 2006, Number of persons, 117
Total, Arges, Year 2007, Number of persons, 97
Total, Arges, Year 2008, Number of persons, 112
Total, Arges, Year 2009, Number of persons, 148
Total, Arges, Year 2010, Number of persons, 141
Total, Arges, Year 2011, Number of persons, 194
Total, Arges, Year 2012, Number of persons, 214
Total, Arges, Year 2013, Number of persons, 208
Total, Arges, Year 2014, Number of persons, 175
Total, Arges, Year 2015, Number of persons, 250
Total, Arges, Year 2016, Number of persons, 367
Total, Arges, Year 2017, Number of persons, 360
Total, Arges, Year 2018, Number of persons, 406
Total, Arges, Year 2019, Number of persons, 436
Total, Arges, Year 2020, Number of persons, 348
Total, Arges, Year 2021, Number of persons, 491
Total, Arges, Year 2022, Number of persons, 700
Total, Arges, Year 2023, Number of persons, 607
Total, Arges, Year 2024, Number of persons, 442
Total, Calarasi, Year 1990, Number of persons, 130
Total, Calarasi, Year 1991, Number of persons, 320
Total, Calarasi, Year 1992, Number of persons, 34
Total, Calarasi, Year 1993, Number of persons, 22
Total, Calarasi, Year 1994, Number of persons, 37
Total, Calarasi, Year 1995, Number of persons, 74
Total, Calarasi, Year 1996, Number of persons, 87
Total, Calarasi, Year 1997, Number of persons, 82
Total, Calarasi, Year 1998, Number of persons, 64
Total, Calarasi, Year 1999, Number of persons, 39
Total, Calarasi, Year 2000, Number of persons, 81
Total, Calarasi, Year 2001, Number of persons, 47
Total, Calarasi, Year 2002, Number of persons, 17
Total, Calarasi, Year 2003, Number of persons, 46
Total, Calarasi, Year 2004, Number of persons, 23
Total, Calarasi, Year 2005, Number of persons, 30
Total, Calarasi, Year 2006, Number of persons, 35
Total, Calarasi, Year 2007, Number of persons, 33
Total, Calarasi, Year 2008, Number of persons, 35
Total, Calarasi, Year 2009, Number of persons, 38
Total, Calarasi, Year 2010, Number of persons, 40
Total, Calarasi, Year 2011, Number of persons, 115
Total, Calarasi, Year 2012, Number of persons, 107
Total, Calarasi, Year 2013, Number of persons, 152
Total, Calarasi, Year 2014, Number of persons, 132
Total, Calarasi, Year 2015, Number of persons, 167
Total, Calarasi, Year 2016, Number of persons, 199
Total, Calarasi, Year 2017, Number of persons, 239
Total, Calarasi, Year 2018, Number of persons, 234
Total, Calarasi, Year 2019, Number of persons, 300
Total, Calarasi, Year 2020, Number of persons, 215
Total, Calarasi, Year 2021, Number of persons, 277
Total, Calarasi, Year 2022, Number of persons, 401
Total, Calarasi, Year 2023, Number of persons, 357
Total, Calarasi, Year 2024, Number of persons, 323
Total, Dambovita, Year 1990, Number of persons, 196
Total, Dambovita, Year 1991, Number of persons, 465
Total, Dambovita, Year 1992, Number of persons, 86
Total, Dambovita, Year 1993, Number of persons, 46
Total, Dambovita, Year 1994, Number of persons, 64
Total, Dambovita, Year 1995, Number of persons, 100
Total, Dambovita, Year 1996, Number of persons, 117
Total, Dambovita, Year 1997, Number of persons, 132
Total, Dambovita, Year 1998, Number of persons, 75
Total, Dambovita, Year 1999, Number of persons, 80
Total, Dambovita, Year 2000, Number of persons, 159
Total, Dambovita, Year 2001, Number of persons, 90
Total, Dambovita, Year 2002, Number of persons, 38
Total, Dambovita, Year 2003, Number of persons, 87
Total, Dambovita, Year 2004, Number of persons, 120
Total, Dambovita, Year 2005, Number of persons, 79
Total, Dambovita, Year 2006, Number of persons, 116
Total, Dambovita, Year 2007, Number of persons, 105
Total, Dambovita, Year 2008, Number of persons, 101
Total, Dambovita, Year 2009, Number of persons, 123
Total, Dambovita, Year 2010, Number of persons, 112
Total, Dambovita, Year 2011, Number of persons, 173
Total, Dambovita, Year 2012, Number of persons, 211
Total, Dambovita, Year 2013, Number of persons, 271
Total, Dambovita, Year 2014, Number of persons, 211
Total, Dambovita, Year 2015, Number of persons, 260
Total, Dambovita, Year 2016, Number of persons, 383
Total, Dambovita, Year 2017, Number of persons, 402
Total, Dambovita, Year 2018, Number of persons, 503
Total, Dambovita, Year 2019, Number of persons, 482
Total, Dambovita, Year 2020, Number of persons, 381
Total, Dambovita, Year 2021, Number of persons, 541
Total, Dambovita, Year 2022, Number of persons, 756
Total, Dambovita, Year 2023, Number of persons, 682
Total, Dambovita, Year 2024, Number of persons, 622
Total, Giurgiu, Year 1990, Number of persons, 102
Total, Giurgiu, Year 1991, Number of persons, 335
Total, Giurgiu, Year 1992, Number of persons, 20
Total, Giurgiu, Year 1993, Number of persons, 22
Total, Giurgiu, Year 1994, Number of persons, 6
Total, Giurgiu, Year 1995, Number of persons, 37
Total, Giurgiu, Year 1996, Number of persons, 35
Total, Giurgiu, Year 1997, Number of persons, 36
Total, Giurgiu, Year 1998, Number of persons, 24
Total, Giurgiu, Year 1999, Number of persons, 53
Total, Giurgiu, Year 2000, Number of persons, 52
Total, Giurgiu, Year 2001, Number of persons, 24
Total, Giurgiu, Year 2002, Number of persons, 16
Total, Giurgiu, Year 2003, Number of persons, 25
Total, Giurgiu, Year 2004, Number of persons, 15
Total, Giurgiu, Year 2005, Number of persons, 17
Total, Giurgiu, Year 2006, Number of persons, 27
Total, Giurgiu, Year 2007, Number of persons, 21
Total, Giurgiu, Year 2008, Number of persons, 15
Total, Giurgiu, Year 2009, Number of persons, 22
Total, Giurgiu, Year 2010, Number of persons, 28
Total, Giurgiu, Year 2011, Number of persons, 65
Total, Giurgiu, Year 2012, Number of persons, 82
Total, Giurgiu, Year 2013, Number of persons, 122
Total, Giurgiu, Year 2014, Number of persons, 92
Total, Giurgiu, Year 2015, Number of persons, 108
Total, Giurgiu, Year 2016, Number of persons, 143
Total, Giurgiu, Year 2017, Number of persons, 159
Total, Giurgiu, Year 2018, Number of persons, 210
Total, Giurgiu, Year 2019, Number of persons, 166
Total, Giurgiu, Year 2020, Number of persons, 144
Total, Giurgiu, Year 2021, Number of persons, 187
Total, Giurgiu, Year 2022, Number of persons, 306
Total, Giurgiu, Year 2023, Number of persons, 292
Total, Giurgiu, Year 2024, Number of persons, 183
Total, Ialomita, Year 1990, Number of persons, 72
Total, Ialomita, Year 1991, Number of persons, 124
Total, Ialomita, Year 1992, Number of persons, 39
Total, Ialomita, Year 1993, Number of persons, 27
Total, Ialomita, Year 1994, Number of persons, 28
Total, Ialomita, Year 1995, Number of persons, 46
Total, Ialomita, Year 1996, Number of persons, 63
Total, Ialomita, Year 1997, Number of persons, 56
Total, Ialomita, Year 1998, Number of persons, 48
Total, Ialomita, Year 1999, Number of persons, 57
Total, Ialomita, Year 2000, Number of persons, 85
Total, Ialomita, Year 2001, Number of persons, 47
Total, Ialomita, Year 2002, Number of persons, 22
Total, Ialomita, Year 2003, Number of persons, 46
Total, Ialomita, Year 2004, Number of persons, 42
Total, Ialomita, Year 2005, Number of persons, 31
Total, Ialomita, Year 2006, Number of persons, 32
Total, Ialomita, Year 2007, Number of persons, 25
Total, Ialomita, Year 2008, Number of persons, 23
Total, Ialomita, Year 2009, Number of persons, 36
Total, Ialomita, Year 2010, Number of persons, 40
Total, Ialomita, Year 2011, Number of persons, 72
Total, Ialomita, Year 2012, Number of persons, 83
Total, Ialomita, Year 2013, Number of persons, 156
Total, Ialomita, Year 2014, Number of persons, 92
Total, Ialomita, Year 2015, Number of persons, 126
Total, Ialomita, Year 2016, Number of persons, 255
Total, Ialomita, Year 2017, Number of persons, 206
Total, Ialomita, Year 2018, Number of persons, 251
Total, Ialomita, Year 2019, Number of persons, 198
Total, Ialomita, Year 2020, Number of persons, 160
Total, Ialomita, Year 2021, Number of persons, 234
Total, Ialomita, Year 2022, Number of persons, 387
Total, Ialomita, Year 2023, Number of persons, 336
Total, Ialomita, Year 2024, Number of persons, 364
Total, Prahova, Year 1990, Number of persons, 323
Total, Prahova, Year 1991, Number of persons, 455
Total, Prahova, Year 1992, Number of persons, 285
Total, Prahova, Year 1993, Number of persons, 180
Total, Prahova, Year 1994, Number of persons, 238
Total, Prahova, Year 1995, Number of persons, 445
Total, Prahova, Year 1996, Number of persons, 461
Total, Prahova, Year 1997, Number of persons, 342
Total, Prahova, Year 1998, Number of persons, 275
Total, Prahova, Year 1999, Number of persons, 208
Total, Prahova, Year 2000, Number of persons, 359
Total, Prahova, Year 2001, Number of persons, 255
Total, Prahova, Year 2002, Number of persons, 153
Total, Prahova, Year 2003, Number of persons, 228
Total, Prahova, Year 2004, Number of persons, 235
Total, Prahova, Year 2005, Number of persons, 169
Total, Prahova, Year 2006, Number of persons, 272
Total, Prahova, Year 2007, Number of persons, 190
Total, Prahova, Year 2008, Number of persons, 203
Total, Prahova, Year 2009, Number of persons, 230
Total, Prahova, Year 2010, Number of persons, 176
Total, Prahova, Year 2011, Number of persons, 297
Total, Prahova, Year 2012, Number of persons, 413
Total, Prahova, Year 2013, Number of persons, 409
Total, Prahova, Year 2014, Number of persons, 283
Total, Prahova, Year 2015, Number of persons, 413
Total, Prahova, Year 2016, Number of persons, 643
Total, Prahova, Year 2017, Number of persons, 606
Total, Prahova, Year 2018, Number of persons, 762
Total, Prahova, Year 2019, Number of persons, 667
Total, Prahova, Year 2020, Number of persons, 499
Total, Prahova, Year 2021, Number of persons, 839
Total, Prahova, Year 2022, Number of persons, 1136
Total, Prahova, Year 2023, Number of persons, 991
Total, Prahova, Year 2024, Number of persons, 722
Total, Teleorman, Year 1990, Number of persons, 111
Total, Teleorman, Year 1991, Number of persons, 168
Total, Teleorman, Year 1992, Number of persons, 34
Total, Teleorman, Year 1993, Number of persons, 29
Total, Teleorman, Year 1994, Number of persons, 27
Total, Teleorman, Year 1995, Number of persons, 37
Total, Teleorman, Year 1996, Number of persons, 73
Total, Teleorman, Year 1997, Number of persons, 61
Total, Teleorman, Year 1998, Number of persons, 42
Total, Teleorman, Year 1999, Number of persons, 68
Total, Teleorman, Year 2000, Number of persons, 102
Total, Teleorman, Year 2001, Number of persons, 58
Total, Teleorman, Year 2002, Number of persons, 15
Total, Teleorman, Year 2003, Number of persons, 27
Total, Teleorman, Year 2004, Number of persons, 44
Total, Teleorman, Year 2005, Number of persons, 42
Total, Teleorman, Year 2006, Number of persons, 64
Total, Teleorman, Year 2007, Number of persons, 36
Total, Teleorman, Year 2008, Number of persons, 60
Total, Teleorman, Year 2009, Number of persons, 47
Total, Teleorman, Year 2010, Number of persons, 65
Total, Teleorman, Year 2011, Number of persons, 191
Total, Teleorman, Year 2012, Number of persons, 304
Total, Teleorman, Year 2013, Number of persons, 328
Total, Teleorman, Year 2014, Number of persons, 229
Total, Teleorman, Year 2015, Number of persons, 266
Total, Teleorman, Year 2016, Number of persons, 403
Total, Teleorman, Year 2017, Number of persons, 379
Total, Teleorman, Year 2018, Number of persons, 450
Total, Teleorman, Year 2019, Number of persons, 415
Total, Teleorman, Year 2020, Number of persons, 333
Total, Teleorman, Year 2021, Number of persons, 431
Total, Teleorman, Year 2022, Number of persons, 521
Total, Teleorman, Year 2023, Number of persons, 537
Total, Teleorman, Year 2024, Number of persons, 388
Total, Ilfov, Year 1990, Number of persons, 199
Total, Ilfov, Year 1991, Number of persons, 101
Total, Ilfov, Year 1992, Number of persons, 109
Total, Ilfov, Year 1993, Number of persons, 49
Total, Ilfov, Year 1994, Number of persons, 99
Total, Ilfov, Year 1995, Number of persons, 156
Total, Ilfov, Year 1996, Number of persons, 123
Total, Ilfov, Year 1997, Number of persons, 66
Total, Ilfov, Year 1998, Number of persons, 50
Total, Ilfov, Year 1999, Number of persons, 38
Total, Ilfov, Year 2000, Number of persons, 52
Total, Ilfov, Year 2001, Number of persons, 36
Total, Ilfov, Year 2002, Number of persons, 22
Total, Ilfov, Year 2003, Number of persons, 34
Total, Ilfov, Year 2004, Number of persons, 39
Total, Ilfov, Year 2005, Number of persons, 17
Total, Ilfov, Year 2006, Number of persons, 37
Total, Ilfov, Year 2007, Number of persons, 18
Total, Ilfov, Year 2008, Number of persons, 40
Total, Ilfov, Year 2009, Number of persons, 50
Total, Ilfov, Year 2010, Number of persons, 23
Total, Ilfov, Year 2011, Number of persons, 72
Total, Ilfov, Year 2012, Number of persons, 57
Total, Ilfov, Year 2013, Number of persons, 105
Total, Ilfov, Year 2014, Number of persons, 133
Total, Ilfov, Year 2015, Number of persons, 174
Total, Ilfov, Year 2016, Number of persons, 214
Total, Ilfov, Year 2017, Number of persons, 276
Total, Ilfov, Year 2018, Number of persons, 305
Total, Ilfov, Year 2019, Number of persons, 319
Total, Ilfov, Year 2020, Number of persons, 278
Total, Ilfov, Year 2021, Number of persons, 434
Total, Ilfov, Year 2022, Number of persons, 590
Total, Ilfov, Year 2023, Number of persons, 626
Total, Ilfov, Year 2024, Number of persons, 582
Total, Bucharest Municipality, Year 1990, Number of persons, 7778
Total, Bucharest Municipality, Year 1991, Number of persons, 3931
Total, Bucharest Municipality, Year 1992, Number of persons, 4272
Total, Bucharest Municipality, Year 1993, Number of persons, 2474
Total, Bucharest Municipality, Year 1994, Number of persons, 3579
Total, Bucharest Municipality, Year 1995, Number of persons, 5760
Total, Bucharest Municipality, Year 1996, Number of persons, 5143
Total, Bucharest Municipality, Year 1997, Number of persons, 3979
Total, Bucharest Municipality, Year 1998, Number of persons, 6326
Total, Bucharest Municipality, Year 1999, Number of persons, 3976
Total, Bucharest Municipality, Year 2000, Number of persons, 2861
Total, Bucharest Municipality, Year 2001, Number of persons, 1805
Total, Bucharest Municipality, Year 2002, Number of persons, 1409
Total, Bucharest Municipality, Year 2003, Number of persons, 1758
Total, Bucharest Municipality, Year 2004, Number of persons, 2018
Total, Bucharest Municipality, Year 2005, Number of persons, 1791
Total, Bucharest Municipality, Year 2006, Number of persons, 2403
Total, Bucharest Municipality, Year 2007, Number of persons, 1625
Total, Bucharest Municipality, Year 2008, Number of persons, 1527
Total, Bucharest Municipality, Year 2009, Number of persons, 1886
Total, Bucharest Municipality, Year 2010, Number of persons, 1433
Total, Bucharest Municipality, Year 2011, Number of persons, 6034
Total, Bucharest Municipality, Year 2012, Number of persons, 5422
Total, Bucharest Municipality, Year 2013, Number of persons, 6043
Total, Bucharest Municipality, Year 2014, Number of persons, 1664
Total, Bucharest Municipality, Year 2015, Number of persons, 2531
Total, Bucharest Municipality, Year 2016, Number of persons, 3634
Total, Bucharest Municipality, Year 2017, Number of persons, 3783
Total, Bucharest Municipality, Year 2018, Number of persons, 4244
Total, Bucharest Municipality, Year 2019, Number of persons, 4092
Total, Bucharest Municipality, Year 2020, Number of persons, 3260
Total, Bucharest Municipality, Year 2021, Number of persons, 5305
Total, Bucharest Municipality, Year 2022, Number of persons, 7219
Total, Bucharest Municipality, Year 2023, Number of persons, 7108
Total, Bucharest Municipality, Year 2024, Number of persons, 8611
Total, Dolj, Year 1990, Number of persons, 275
Total, Dolj, Year 1991, Number of persons, 434
Total, Dolj, Year 1992, Number of persons, 222
Total, Dolj, Year 1993, Number of persons, 160
Total, Dolj, Year 1994, Number of persons, 163
Total, Dolj, Year 1995, Number of persons, 436
Total, Dolj, Year 1996, Number of persons, 385
Total, Dolj, Year 1997, Number of persons, 348
Total, Dolj, Year 1998, Number of persons, 245
Total, Dolj, Year 1999, Number of persons, 246
Total, Dolj, Year 2000, Number of persons, 296
Total, Dolj, Year 2001, Number of persons, 224
Total, Dolj, Year 2002, Number of persons, 129
Total, Dolj, Year 2003, Number of persons, 196
Total, Dolj, Year 2004, Number of persons, 306
Total, Dolj, Year 2005, Number of persons, 262
Total, Dolj, Year 2006, Number of persons, 297
