Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Bihor, Year 2012, Number of persons, 575731
Total, Total, Total, Bihor, Year 2013, Number of persons, 575270
Total, Total, Total, Bihor, Year 2014, Number of persons, 573769
Total, Total, Total, Bihor, Year 2015, Number of persons, 572057
Total, Total, Total, Bihor, Year 2016, Number of persons, 568969
Total, Total, Total, Bihor, Year 2017, Number of persons, 566381
Total, Total, Total, Bihor, Year 2018, Number of persons, 564171
Total, Total, Total, Bihor, Year 2019, Number of persons, 561621
Total, Total, Total, Bihor, Year 2020, Number of persons, 560646
Total, Total, Total, Bihor, Year 2021, Number of persons, 557836
Total, Total, Total, Bihor, Year 2022, Number of persons, 552031
Total, Total, Total, Bihor, Year 2023, Number of persons, 554016
Total, Total, Total, Bihor, Year 2024, Number of persons, 555957
Total, Total, Total, Bihor, Year 2025, Number of persons, 556894
Total, Total, Total, Bistrita-Nasaud, Year 2012, Number of persons, 285468
Total, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 284178
Total, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 283910
Total, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 283255
Total, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 282495
Total, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 281387
Total, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 280058
Total, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 278868
Total, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 278033
Total, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 276517
Total, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 295351
Total, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 296140
Total, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 297082
Total, Total, Total, Bistrita-Nasaud, Year 2025, Number of persons, 297211
Total, Total, Total, Cluj, Year 2012, Number of persons, 693608
Total, Total, Total, Cluj, Year 2013, Number of persons, 697457
Total, Total, Total, Cluj, Year 2014, Number of persons, 699097
Total, Total, Total, Cluj, Year 2015, Number of persons, 700982
Total, Total, Total, Cluj, Year 2016, Number of persons, 701258
Total, Total, Total, Cluj, Year 2017, Number of persons, 702780
Total, Total, Total, Cluj, Year 2018, Number of persons, 704619
Total, Total, Total, Cluj, Year 2019, Number of persons, 706952
Total, Total, Total, Cluj, Year 2020, Number of persons, 709872
Total, Total, Total, Cluj, Year 2021, Number of persons, 710664
Total, Total, Total, Cluj, Year 2022, Number of persons, 683028
Total, Total, Total, Cluj, Year 2023, Number of persons, 688844
Total, Total, Total, Cluj, Year 2024, Number of persons, 693507
Total, Total, Total, Cluj, Year 2025, Number of persons, 697374
Total, Total, Total, Maramures, Year 2012, Number of persons, 477180
Total, Total, Total, Maramures, Year 2013, Number of persons, 474115
Total, Total, Total, Maramures, Year 2014, Number of persons, 472483
Total, Total, Total, Maramures, Year 2015, Number of persons, 470714
Total, Total, Total, Maramures, Year 2016, Number of persons, 468333
Total, Total, Total, Maramures, Year 2017, Number of persons, 465423
Total, Total, Total, Maramures, Year 2018, Number of persons, 463306
Total, Total, Total, Maramures, Year 2019, Number of persons, 460756
Total, Total, Total, Maramures, Year 2020, Number of persons, 458927
Total, Total, Total, Maramures, Year 2021, Number of persons, 455160
Total, Total, Total, Maramures, Year 2022, Number of persons, 451499
Total, Total, Total, Maramures, Year 2023, Number of persons, 451728
Total, Total, Total, Maramures, Year 2024, Number of persons, 451881
Total, Total, Total, Maramures, Year 2025, Number of persons, 450925
Total, Total, Total, Satu Mare, Year 2012, Number of persons, 343530
Total, Total, Total, Satu Mare, Year 2013, Number of persons, 342118
Total, Total, Total, Satu Mare, Year 2014, Number of persons, 341094
Total, Total, Total, Satu Mare, Year 2015, Number of persons, 339987
Total, Total, Total, Satu Mare, Year 2016, Number of persons, 338181
Total, Total, Total, Satu Mare, Year 2017, Number of persons, 336543
Total, Total, Total, Satu Mare, Year 2018, Number of persons, 334589
Total, Total, Total, Satu Mare, Year 2019, Number of persons, 332610
Total, Total, Total, Satu Mare, Year 2020, Number of persons, 331500
Total, Total, Total, Satu Mare, Year 2021, Number of persons, 329535
Total, Total, Total, Satu Mare, Year 2022, Number of persons, 330363
Total, Total, Total, Satu Mare, Year 2023, Number of persons, 330662
Total, Total, Total, Satu Mare, Year 2024, Number of persons, 330701
Total, Total, Total, Satu Mare, Year 2025, Number of persons, 330466
Total, Total, Total, Salaj, Year 2012, Number of persons, 223360
Total, Total, Total, Salaj, Year 2013, Number of persons, 221685
Total, Total, Total, Salaj, Year 2014, Number of persons, 220479
Total, Total, Total, Salaj, Year 2015, Number of persons, 219039
