Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Salaj, Year 2016, Number of persons, 217331
Total, Total, Total, Salaj, Year 2017, Number of persons, 215878
Total, Total, Total, Salaj, Year 2018, Number of persons, 213761
Total, Total, Total, Salaj, Year 2019, Number of persons, 211663
Total, Total, Total, Salaj, Year 2020, Number of persons, 209982
Total, Total, Total, Salaj, Year 2021, Number of persons, 209114
Total, Total, Total, Salaj, Year 2022, Number of persons, 211329
Total, Total, Total, Salaj, Year 2023, Number of persons, 210652
Total, Total, Total, Salaj, Year 2024, Number of persons, 210656
Total, Total, Total, Salaj, Year 2025, Number of persons, 211140
Total, Total, Total, Alba, Year 2012, Number of persons, 341479
Total, Total, Total, Alba, Year 2013, Number of persons, 339517
Total, Total, Total, Alba, Year 2014, Number of persons, 337717
Total, Total, Total, Alba, Year 2015, Number of persons, 335915
Total, Total, Total, Alba, Year 2016, Number of persons, 333488
Total, Total, Total, Alba, Year 2017, Number of persons, 330954
Total, Total, Total, Alba, Year 2018, Number of persons, 328264
Total, Total, Total, Alba, Year 2019, Number of persons, 325475
Total, Total, Total, Alba, Year 2020, Number of persons, 324071
Total, Total, Total, Alba, Year 2021, Number of persons, 321199
Total, Total, Total, Alba, Year 2022, Number of persons, 325715
Total, Total, Total, Alba, Year 2023, Number of persons, 325838
Total, Total, Total, Alba, Year 2024, Number of persons, 325697
Total, Total, Total, Alba, Year 2025, Number of persons, 325260
Total, Total, Total, Brasov, Year 2012, Number of persons, 549519
Total, Total, Total, Brasov, Year 2013, Number of persons, 550713
Total, Total, Total, Brasov, Year 2014, Number of persons, 550912
Total, Total, Total, Brasov, Year 2015, Number of persons, 551160
Total, Total, Total, Brasov, Year 2016, Number of persons, 550934
Total, Total, Total, Brasov, Year 2017, Number of persons, 550789
Total, Total, Total, Brasov, Year 2018, Number of persons, 551185
Total, Total, Total, Brasov, Year 2019, Number of persons, 552390
Total, Total, Total, Brasov, Year 2020, Number of persons, 554014
Total, Total, Total, Brasov, Year 2021, Number of persons, 553807
Total, Total, Total, Brasov, Year 2022, Number of persons, 548254
Total, Total, Total, Brasov, Year 2023, Number of persons, 552813
Total, Total, Total, Brasov, Year 2024, Number of persons, 557129
Total, Total, Total, Brasov, Year 2025, Number of persons, 560277
Total, Total, Total, Covasna, Year 2012, Number of persons, 209713
Total, Total, Total, Covasna, Year 2013, Number of persons, 208976
Total, Total, Total, Covasna, Year 2014, Number of persons, 208628
Total, Total, Total, Covasna, Year 2015, Number of persons, 207569
Total, Total, Total, Covasna, Year 2016, Number of persons, 206279
Total, Total, Total, Covasna, Year 2017, Number of persons, 204929
Total, Total, Total, Covasna, Year 2018, Number of persons, 203471
Total, Total, Total, Covasna, Year 2019, Number of persons, 202113
Total, Total, Total, Covasna, Year 2020, Number of persons, 201503
Total, Total, Total, Covasna, Year 2021, Number of persons, 200083
Total, Total, Total, Covasna, Year 2022, Number of persons, 199912
Total, Total, Total, Covasna, Year 2023, Number of persons, 199795
Total, Total, Total, Covasna, Year 2024, Number of persons, 199675
Total, Total, Total, Covasna, Year 2025, Number of persons, 199606
Total, Total, Total, Harghita, Year 2012, Number of persons, 311048
Total, Total, Total, Harghita, Year 2013, Number of persons, 310842
Total, Total, Total, Harghita, Year 2014, Number of persons, 310360
Total, Total, Total, Harghita, Year 2015, Number of persons, 309133
Total, Total, Total, Harghita, Year 2016, Number of persons, 307555
Total, Total, Total, Harghita, Year 2017, Number of persons, 305676
Total, Total, Total, Harghita, Year 2018, Number of persons, 304219
Total, Total, Total, Harghita, Year 2019, Number of persons, 302291
Total, Total, Total, Harghita, Year 2020, Number of persons, 301521
Total, Total, Total, Harghita, Year 2021, Number of persons, 299163
Total, Total, Total, Harghita, Year 2022, Number of persons, 291633
Total, Total, Total, Harghita, Year 2023, Number of persons, 291810
Total, Total, Total, Harghita, Year 2024, Number of persons, 292148
Total, Total, Total, Harghita, Year 2025, Number of persons, 291871
Total, Total, Total, Mures, Year 2012, Number of persons, 550214
Total, Total, Total, Mures, Year 2013, Number of persons, 549097
Total, Total, Total, Mures, Year 2014, Number of persons, 547861
Total, Total, Total, Mures, Year 2015, Number of persons, 546532
Total, Total, Total, Mures, Year 2016, Number of persons, 543726
Total, Total, Total, Mures, Year 2017, Number of persons, 540719
Total, Total, Total, Mures, Year 2018, Number of persons, 538214
Total, Total, Total, Mures, Year 2019, Number of persons, 535202
Total, Total, Total, Mures, Year 2020, Number of persons, 533355
Total, Total, Total, Mures, Year 2021, Number of persons, 529593
Total, Total, Total, Mures, Year 2022, Number of persons, 518991
Total, Total, Total, Mures, Year 2023, Number of persons, 519395
Total, Total, Total, Mures, Year 2024, Number of persons, 519831
Total, Total, Total, Mures, Year 2025, Number of persons, 519574
Total, Total, Total, Sibiu, Year 2012, Number of persons, 398605
Total, Total, Total, Sibiu, Year 2013, Number of persons, 400260
Total, Total, Total, Sibiu, Year 2014, Number of persons, 400268
Total, Total, Total, Sibiu, Year 2015, Number of persons, 400230
Total, Total, Total, Sibiu, Year 2016, Number of persons, 399982
Total, Total, Total, Sibiu, Year 2017, Number of persons, 399724
Total, Total, Total, Sibiu, Year 2018, Number of persons, 400018
Total, Total, Total, Sibiu, Year 2019, Number of persons, 400988
Total, Total, Total, Sibiu, Year 2020, Number of persons, 401352
Total, Total, Total, Sibiu, Year 2021, Number of persons, 400291
Total, Total, Total, Sibiu, Year 2022, Number of persons, 388896
Total, Total, Total, Sibiu, Year 2023, Number of persons, 391433
Total, Total, Total, Sibiu, Year 2024, Number of persons, 393581
Total, Total, Total, Sibiu, Year 2025, Number of persons, 394963
Total, Total, Total, Bacau, Year 2012, Number of persons, 614316
Total, Total, Total, Bacau, Year 2013, Number of persons, 609948
Total, Total, Total, Bacau, Year 2014, Number of persons, 606975
Total, Total, Total, Bacau, Year 2015, Number of persons, 604567
Total, Total, Total, Bacau, Year 2016, Number of persons, 600549
Total, Total, Total, Bacau, Year 2017, Number of persons, 595534
Total, Total, Total, Bacau, Year 2018, Number of persons, 591053
Total, Total, Total, Bacau, Year 2019, Number of persons, 585548
Total, Total, Total, Bacau, Year 2020, Number of persons, 582495
Total, Total, Total, Bacau, Year 2021, Number of persons, 576683
Total, Total, Total, Bacau, Year 2022, Number of persons, 599435
Total, Total, Total, Bacau, Year 2023, Number of persons, 597504
Total, Total, Total, Bacau, Year 2024, Number of persons, 595888
Total, Total, Total, Bacau, Year 2025, Number of persons, 591999
Total, Total, Total, Botosani, Year 2012, Number of persons, 410706
Total, Total, Total, Botosani, Year 2013, Number of persons, 406330
Total, Total, Total, Botosani, Year 2014, Number of persons, 403205
Total, Total, Total, Botosani, Year 2015, Number of persons, 399273
Total, Total, Total, Botosani, Year 2016, Number of persons, 394625
Total, Total, Total, Botosani, Year 2017, Number of persons, 390320
Total, Total, Total, Botosani, Year 2018, Number of persons, 385268
Total, Total, Total, Botosani, Year 2019, Number of persons, 380142
Total, Total, Total, Botosani, Year 2020, Number of persons, 377679
Total, Total, Total, Botosani, Year 2021, Number of persons, 373239
Total, Total, Total, Botosani, Year 2022, Number of persons, 391108
Total, Total, Total, Botosani, Year 2023, Number of persons, 389815
Total, Total, Total, Botosani, Year 2024, Number of persons, 389748
Total, Total, Total, Botosani, Year 2025, Number of persons, 388291
Total, Total, Total, Iasi, Year 2012, Number of persons, 772979
Total, Total, Total, Iasi, Year 2013, Number of persons, 775165
Total, Total, Total, Iasi, Year 2014, Number of persons, 781503
Total, Total, Total, Iasi, Year 2015, Number of persons, 787589
Total, Total, Total, Iasi, Year 2016, Number of persons, 788659
Total, Total, Total, Iasi, Year 2017, Number of persons, 789935
Total, Total, Total, Iasi, Year 2018, Number of persons, 791753
Total, Total, Total, Iasi, Year 2019, Number of persons, 794706
Total, Total, Total, Iasi, Year 2020, Number of persons, 794979
Total, Total, Total, Iasi, Year 2021, Number of persons, 797131
Total, Total, Total, Iasi, Year 2022, Number of persons, 765720
Total, Total, Total, Iasi, Year 2023, Number of persons, 774025
Total, Total, Total, Iasi, Year 2024, Number of persons, 778689
Total, Total, Total, Iasi, Year 2025, Number of persons, 780271
Total, Total, Total, Neamt, Year 2012, Number of persons, 468429
Total, Total, Total, Neamt, Year 2013, Number of persons, 464758
Total, Total, Total, Neamt, Year 2014, Number of persons, 462109
Total, Total, Total, Neamt, Year 2015, Number of persons, 459457
Total, Total, Total, Neamt, Year 2016, Number of persons, 455643
Total, Total, Total, Neamt, Year 2017, Number of persons, 451544
Total, Total, Total, Neamt, Year 2018, Number of persons, 447232
Total, Total, Total, Neamt, Year 2019, Number of persons, 442132
Total, Total, Total, Neamt, Year 2020, Number of persons, 439179
Total, Total, Total, Neamt, Year 2021, Number of persons, 433852
Total, Total, Total, Neamt, Year 2022, Number of persons, 452057
Total, Total, Total, Neamt, Year 2023, Number of persons, 449345
Total, Total, Total, Neamt, Year 2024, Number of persons, 447776
Total, Total, Total, Neamt, Year 2025, Number of persons, 445750
Total, Total, Total, Suceava, Year 2012, Number of persons, 633658
Total, Total, Total, Suceava, Year 2013, Number of persons, 632210
Total, Total, Total, Suceava, Year 2014, Number of persons, 631760
Total, Total, Total, Suceava, Year 2015, Number of persons, 631309
Total, Total, Total, Suceava, Year 2016, Number of persons, 629733
Total, Total, Total, Suceava, Year 2017, Number of persons, 628316
Total, Total, Total, Suceava, Year 2018, Number of persons, 627439
Total, Total, Total, Suceava, Year 2019, Number of persons, 625969
Total, Total, Total, Suceava, Year 2020, Number of persons, 625431
Total, Total, Total, Suceava, Year 2021, Number of persons, 622665
Total, Total, Total, Suceava, Year 2022, Number of persons, 640816
Total, Total, Total, Suceava, Year 2023, Number of persons, 642275
Total, Total, Total, Suceava, Year 2024, Number of persons, 645196
Total, Total, Total, Suceava, Year 2025, Number of persons, 645930
Total, Total, Total, Vaslui, Year 2012, Number of persons, 394116
Total, Total, Total, Vaslui, Year 2013, Number of persons, 390387
Total, Total, Total, Vaslui, Year 2014, Number of persons, 389873
Total, Total, Total, Vaslui, Year 2015, Number of persons, 390015
Total, Total, Total, Vaslui, Year 2016, Number of persons, 387525
Total, Total, Total, Vaslui, Year 2017, Number of persons, 383924
Total, Total, Total, Vaslui, Year 2018, Number of persons, 379987
Total, Total, Total, Vaslui, Year 2019, Number of persons, 374303
Total, Total, Total, Vaslui, Year 2020, Number of persons, 373127
Total, Total, Total, Vaslui, Year 2021, Number of persons, 369345
Total, Total, Total, Vaslui, Year 2022, Number of persons, 372861
Total, Total, Total, Vaslui, Year 2023, Number of persons, 371464
Total, Total, Total, Vaslui, Year 2024, Number of persons, 369517
Total, Total, Total, Vaslui, Year 2025, Number of persons, 365977
Total, Total, Total, Braila, Year 2012, Number of persons, 319674
Total, Total, Total, Braila, Year 2013, Number of persons, 315598
Total, Total, Total, Braila, Year 2014, Number of persons, 312152
Total, Total, Total, Braila, Year 2015, Number of persons, 308203
Total, Total, Total, Braila, Year 2016, Number of persons, 303608
Total, Total, Total, Braila, Year 2017, Number of persons, 299087
Total, Total, Total, Braila, Year 2018, Number of persons, 294097
Total, Total, Total, Braila, Year 2019, Number of persons, 289534
Total, Total, Total, Braila, Year 2020, Number of persons, 286021
Total, Total, Total, Braila, Year 2021, Number of persons, 280796
Total, Total, Total, Braila, Year 2022, Number of persons, 280196
Total, Total, Total, Braila, Year 2023, Number of persons, 277021
Total, Total, Total, Braila, Year 2024, Number of persons, 274751
Total, Total, Total, Braila, Year 2025, Number of persons, 271655
Total, Total, Total, Buzau, Year 2012, Number of persons, 449218
Total, Total, Total, Buzau, Year 2013, Number of persons, 444993
Total, Total, Total, Buzau, Year 2014, Number of persons, 441016
Total, Total, Total, Buzau, Year 2015, Number of persons, 436478
Total, Total, Total, Buzau, Year 2016, Number of persons, 431015
Total, Total, Total, Buzau, Year 2017, Number of persons, 425842
Total, Total, Total, Buzau, Year 2018, Number of persons, 419831
Total, Total, Total, Buzau, Year 2019, Number of persons, 413808
Total, Total, Total, Buzau, Year 2020, Number of persons, 409388
Total, Total, Total, Buzau, Year 2021, Number of persons, 403937
Total, Total, Total, Buzau, Year 2022, Number of persons, 403817
Total, Total, Total, Buzau, Year 2023, Number of persons, 400823
Total, Total, Total, Buzau, Year 2024, Number of persons, 398344
Total, Total, Total, Buzau, Year 2025, Number of persons, 395517
Total, Total, Total, Constanta, Year 2012, Number of persons, 683866
Total, Total, Total, Constanta, Year 2013, Number of persons, 684458
Total, Total, Total, Constanta, Year 2014, Number of persons, 684392
Total, Total, Total, Constanta, Year 2015, Number of persons, 683329
Total, Total, Total, Constanta, Year 2016, Number of persons, 681054
Total, Total, Total, Constanta, Year 2017, Number of persons, 678316
Total, Total, Total, Constanta, Year 2018, Number of persons, 676095
Total, Total, Total, Constanta, Year 2019, Number of persons, 673764
Total, Total, Total, Constanta, Year 2020, Number of persons, 672451
Total, Total, Total, Constanta, Year 2021, Number of persons, 668329
Total, Total, Total, Constanta, Year 2022, Number of persons, 656017
Total, Total, Total, Constanta, Year 2023, Number of persons, 657055
Total, Total, Total, Constanta, Year 2024, Number of persons, 657419
Total, Total, Total, Constanta, Year 2025, Number of persons, 656082
Total, Total, Total, Galati, Year 2012, Number of persons, 534577
Total, Total, Total, Galati, Year 2013, Number of persons, 530914
Total, Total, Total, Galati, Year 2014, Number of persons, 528216
Total, Total, Total, Galati, Year 2015, Number of persons, 524751
Total, Total, Total, Galati, Year 2016, Number of persons, 520058
Total, Total, Total, Galati, Year 2017, Number of persons, 515297
Total, Total, Total, Galati, Year 2018, Number of persons, 510865
Total, Total, Total, Galati, Year 2019, Number of persons, 506135
Total, Total, Total, Galati, Year 2020, Number of persons, 503506
Total, Total, Total, Galati, Year 2021, Number of persons, 499364
Total, Total, Total, Galati, Year 2022, Number of persons, 495030
Total, Total, Total, Galati, Year 2023, Number of persons, 494280
Total, Total, Total, Galati, Year 2024, Number of persons, 493009
Total, Total, Total, Galati, Year 2025, Number of persons, 489056
Total, Total, Total, Tulcea, Year 2012, Number of persons, 212012
Total, Total, Total, Tulcea, Year 2013, Number of persons, 210119
Total, Total, Total, Tulcea, Year 2014, Number of persons, 208289
Total, Total, Total, Tulcea, Year 2015, Number of persons, 206013
Total, Total, Total, Tulcea, Year 2016, Number of persons, 203196
Total, Total, Total, Tulcea, Year 2017, Number of persons, 200706
Total, Total, Total, Tulcea, Year 2018, Number of persons, 197734
Total, Total, Total, Tulcea, Year 2019, Number of persons, 194439
Total, Total, Total, Tulcea, Year 2020, Number of persons, 192163
Total, Total, Total, Tulcea, Year 2021, Number of persons, 189747
Total, Total, Total, Tulcea, Year 2022, Number of persons, 192566
Total, Total, Total, Tulcea, Year 2023, Number of persons, 190994
Total, Total, Total, Tulcea, Year 2024, Number of persons, 189336
Total, Total, Total, Tulcea, Year 2025, Number of persons, 187619
Total, Total, Total, Vrancea, Year 2012, Number of persons, 339602
Total, Total, Total, Vrancea, Year 2013, Number of persons, 337272
Total, Total, Total, Vrancea, Year 2014, Number of persons, 335738
Total, Total, Total, Vrancea, Year 2015, Number of persons, 333808
Total, Total, Total, Vrancea, Year 2016, Number of persons, 330937
Total, Total, Total, Vrancea, Year 2017, Number of persons, 328057
Total, Total, Total, Vrancea, Year 2018, Number of persons, 324437
Total, Total, Total, Vrancea, Year 2019, Number of persons, 320722
Total, Total, Total, Vrancea, Year 2020, Number of persons, 317778
Total, Total, Total, Vrancea, Year 2021, Number of persons, 314494
Total, Total, Total, Vrancea, Year 2022, Number of persons, 334066
Total, Total, Total, Vrancea, Year 2023, Number of persons, 333154
Total, Total, Total, Vrancea, Year 2024, Number of persons, 332313
Total, Total, Total, Vrancea, Year 2025, Number of persons, 331236
Total, Total, Total, Arges, Year 2012, Number of persons, 611024
Total, Total, Total, Arges, Year 2013, Number of persons, 606789
Total, Total, Total, Arges, Year 2014, Number of persons, 604153
Total, Total, Total, Arges, Year 2015, Number of persons, 600301
Total, Total, Total, Arges, Year 2016, Number of persons, 595764
Total, Total, Total, Arges, Year 2017, Number of persons, 590522
Total, Total, Total, Arges, Year 2018, Number of persons, 585713
Total, Total, Total, Arges, Year 2019, Number of persons, 579904
Total, Total, Total, Arges, Year 2020, Number of persons, 575197
Total, Total, Total, Arges, Year 2021, Number of persons, 567851
Total, Total, Total, Arges, Year 2022, Number of persons, 566913
Total, Total, Total, Arges, Year 2023, Number of persons, 565747
Total, Total, Total, Arges, Year 2024, Number of persons, 564829
Total, Total, Total, Arges, Year 2025, Number of persons, 561990
Total, Total, Total, Calarasi, Year 2012, Number of persons, 305779
Total, Total, Total, Calarasi, Year 2013, Number of persons, 303881
Total, Total, Total, Calarasi, Year 2014, Number of persons, 301326
Total, Total, Total, Calarasi, Year 2015, Number of persons, 298763
Total, Total, Total, Calarasi, Year 2016, Number of persons, 295505
Total, Total, Total, Calarasi, Year 2017, Number of persons, 292841
Total, Total, Total, Calarasi, Year 2018, Number of persons, 288061
Total, Total, Total, Calarasi, Year 2019, Number of persons, 284393
Total, Total, Total, Calarasi, Year 2020, Number of persons, 280483
Total, Total, Total, Calarasi, Year 2021, Number of persons, 278105
Total, Total, Total, Calarasi, Year 2022, Number of persons, 281980
Total, Total, Total, Calarasi, Year 2023, Number of persons, 280468
Total, Total, Total, Calarasi, Year 2024, Number of persons, 279349
Total, Total, Total, Calarasi, Year 2025, Number of persons, 278602
Total, Total, Total, Dambovita, Year 2012, Number of persons, 517657
Total, Total, Total, Dambovita, Year 2013, Number of persons, 515623
Total, Total, Total, Dambovita, Year 2014, Number of persons, 512741
Total, Total, Total, Dambovita, Year 2015, Number of persons, 509552
Total, Total, Total, Dambovita, Year 2016, Number of persons, 505219
Total, Total, Total, Dambovita, Year 2017, Number of persons, 501269
Total, Total, Total, Dambovita, Year 2018, Number of persons, 496213
Total, Total, Total, Dambovita, Year 2019, Number of persons, 491368
Total, Total, Total, Dambovita, Year 2020, Number of persons, 487387
Total, Total, Total, Dambovita, Year 2021, Number of persons, 483351
Total, Total, Total, Dambovita, Year 2022, Number of persons, 478599
Total, Total, Total, Dambovita, Year 2023, Number of persons, 477197
Total, Total, Total, Dambovita, Year 2024, Number of persons, 476962
Total, Total, Total, Dambovita, Year 2025, Number of persons, 476523
Total, Total, Total, Giurgiu, Year 2012, Number of persons, 281295
Total, Total, Total, Giurgiu, Year 2013, Number of persons, 281989
Total, Total, Total, Giurgiu, Year 2014, Number of persons, 278473
Total, Total, Total, Giurgiu, Year 2015, Number of persons, 276664
Total, Total, Total, Giurgiu, Year 2016, Number of persons, 274570
Total, Total, Total, Giurgiu, Year 2017, Number of persons, 273989
Total, Total, Total, Giurgiu, Year 2018, Number of persons, 269239
Total, Total, Total, Giurgiu, Year 2019, Number of persons, 266207
Total, Total, Total, Giurgiu, Year 2020, Number of persons, 263329
Total, Total, Total, Giurgiu, Year 2021, Number of persons, 261109
Total, Total, Total, Giurgiu, Year 2022, Number of persons, 260203
Total, Total, Total, Giurgiu, Year 2023, Number of persons, 258751
Total, Total, Total, Giurgiu, Year 2024, Number of persons, 258661
Total, Total, Total, Giurgiu, Year 2025, Number of persons, 261198
Total, Total, Total, Ialomita, Year 2012, Number of persons, 273317
Total, Total, Total, Ialomita, Year 2013, Number of persons, 271030
Total, Total, Total, Ialomita, Year 2014, Number of persons, 269386
Total, Total, Total, Ialomita, Year 2015, Number of persons, 267230
Total, Total, Total, Ialomita, Year 2016, Number of persons, 264733
Total, Total, Total, Ialomita, Year 2017, Number of persons, 262237
Total, Total, Total, Ialomita, Year 2018, Number of persons, 259143
Total, Total, Total, Ialomita, Year 2019, Number of persons, 256499
Total, Total, Total, Ialomita, Year 2020, Number of persons, 255032
Total, Total, Total, Ialomita, Year 2021, Number of persons, 252735
Total, Total, Total, Ialomita, Year 2022, Number of persons, 250451
Total, Total, Total, Ialomita, Year 2023, Number of persons, 249852
Total, Total, Total, Ialomita, Year 2024, Number of persons, 249364
Total, Total, Total, Ialomita, Year 2025, Number of persons, 248786
Total, Total, Total, Prahova, Year 2012, Number of persons, 761699
Total, Total, Total, Prahova, Year 2013, Number of persons, 756635
Total, Total, Total, Prahova, Year 2014, Number of persons, 752405
Total, Total, Total, Prahova, Year 2015, Number of persons, 747634
Total, Total, Total, Prahova, Year 2016, Number of persons, 740483
Total, Total, Total, Prahova, Year 2017, Number of persons, 732847
Total, Total, Total, Prahova, Year 2018, Number of persons, 725599
Total, Total, Total, Prahova, Year 2019, Number of persons, 718098
Total, Total, Total, Prahova, Year 2020, Number of persons, 712725
Total, Total, Total, Prahova, Year 2021, Number of persons, 703580
Total, Total, Total, Prahova, Year 2022, Number of persons, 694502
Total, Total, Total, Prahova, Year 2023, Number of persons, 691246
Total, Total, Total, Prahova, Year 2024, Number of persons, 688976
Total, Total, Total, Prahova, Year 2025, Number of persons, 685562
Total, Total, Total, Teleorman, Year 2012, Number of persons, 378028
Total, Total, Total, Teleorman, Year 2013, Number of persons, 372203
Total, Total, Total, Teleorman, Year 2014, Number of persons, 367239
Total, Total, Total, Teleorman, Year 2015, Number of persons, 361615
Total, Total, Total, Teleorman, Year 2016, Number of persons, 355281
Total, Total, Total, Teleorman, Year 2017, Number of persons, 349628
Total, Total, Total, Teleorman, Year 2018, Number of persons, 341447
Total, Total, Total, Teleorman, Year 2019, Number of persons, 334217
Total, Total, Total, Teleorman, Year 2020, Number of persons, 329058
Total, Total, Total, Teleorman, Year 2021, Number of persons, 324405
Total, Total, Total, Teleorman, Year 2022, Number of persons, 322245
Total, Total, Total, Teleorman, Year 2023, Number of persons, 318043
Total, Total, Total, Teleorman, Year 2024, Number of persons, 315482
Total, Total, Total, Teleorman, Year 2025, Number of persons, 313033
Total, Total, Total, Ilfov, Year 2012, Number of persons, 392279
Total, Total, Total, Ilfov, Year 2013, Number of persons, 406855
Total, Total, Total, Ilfov, Year 2014, Number of persons, 417850
Total, Total, Total, Ilfov, Year 2015, Number of persons, 430805
Total, Total, Total, Ilfov, Year 2016, Number of persons, 444241
Total, Total, Total, Ilfov, Year 2017, Number of persons, 460486
Total, Total, Total, Ilfov, Year 2018, Number of persons, 473422
Total, Total, Total, Ilfov, Year 2019, Number of persons, 485307
Total, Total, Total, Ilfov, Year 2020, Number of persons, 486869
Total, Total, Total, Ilfov, Year 2021, Number of persons, 503675
Total, Total, Total, Ilfov, Year 2022, Number of persons, 545407
Total, Total, Total, Ilfov, Year 2023, Number of persons, 564833
Total, Total, Total, Ilfov, Year 2024, Number of persons, 583663
Total, Total, Total, Ilfov, Year 2025, Number of persons, 604264
Total, Total, Total, Bucharest Municipality, Year 2012, Number of persons, 1886866
Total, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 1875389
Total, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 1865563
Total, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 1853638
Total, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 1843962
Total, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 1826579
Total, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 1828869
