Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Satu Mare, Year 2011, Number of persons, 395212
Total, Total, Total, Salaj, Year 1992, Number of persons, 273797
Total, Total, Total, Salaj, Year 1993, Number of persons, 271997
Total, Total, Total, Salaj, Year 1994, Number of persons, 270630
Total, Total, Total, Salaj, Year 1995, Number of persons, 269454
Total, Total, Total, Salaj, Year 1996, Number of persons, 268188
Total, Total, Total, Salaj, Year 1997, Number of persons, 266454
Total, Total, Total, Salaj, Year 1998, Number of persons, 264663
Total, Total, Total, Salaj, Year 1999, Number of persons, 263319
Total, Total, Total, Salaj, Year 2000, Number of persons, 262126
Total, Total, Total, Salaj, Year 2001, Number of persons, 261539
Total, Total, Total, Salaj, Year 2002, Number of persons, 260738
Total, Total, Total, Salaj, Year 2003, Number of persons, 259947
Total, Total, Total, Salaj, Year 2004, Number of persons, 258832
Total, Total, Total, Salaj, Year 2005, Number of persons, 257628
Total, Total, Total, Salaj, Year 2006, Number of persons, 256821
Total, Total, Total, Salaj, Year 2007, Number of persons, 255794
Total, Total, Total, Salaj, Year 2008, Number of persons, 254828
Total, Total, Total, Salaj, Year 2009, Number of persons, 254246
Total, Total, Total, Salaj, Year 2010, Number of persons, 253210
Total, Total, Total, Salaj, Year 2011, Number of persons, 252234
Total, Total, Total, Alba, Year 1992, Number of persons, 419698
Total, Total, Total, Alba, Year 1993, Number of persons, 417700
Total, Total, Total, Alba, Year 1994, Number of persons, 415728
Total, Total, Total, Alba, Year 1995, Number of persons, 414091
Total, Total, Total, Alba, Year 1996, Number of persons, 411998
Total, Total, Total, Alba, Year 1997, Number of persons, 409942
Total, Total, Total, Alba, Year 1998, Number of persons, 408257
Total, Total, Total, Alba, Year 1999, Number of persons, 406478
Total, Total, Total, Alba, Year 2000, Number of persons, 404806
Total, Total, Total, Alba, Year 2001, Number of persons, 403466
Total, Total, Total, Alba, Year 2002, Number of persons, 402290
Total, Total, Total, Alba, Year 2003, Number of persons, 400760
Total, Total, Total, Alba, Year 2004, Number of persons, 399162
Total, Total, Total, Alba, Year 2005, Number of persons, 397650
Total, Total, Total, Alba, Year 2006, Number of persons, 396429
Total, Total, Total, Alba, Year 2007, Number of persons, 394641
Total, Total, Total, Alba, Year 2008, Number of persons, 393390
Total, Total, Total, Alba, Year 2009, Number of persons, 391990
Total, Total, Total, Alba, Year 2010, Number of persons, 390612
Total, Total, Total, Alba, Year 2011, Number of persons, 388869
Total, Total, Total, Brasov, Year 1992, Number of persons, 627434
Total, Total, Total, Brasov, Year 1993, Number of persons, 629987
Total, Total, Total, Brasov, Year 1994, Number of persons, 630587
Total, Total, Total, Brasov, Year 1995, Number of persons, 630831
Total, Total, Total, Brasov, Year 1996, Number of persons, 628984
Total, Total, Total, Brasov, Year 1997, Number of persons, 627837
Total, Total, Total, Brasov, Year 1998, Number of persons, 626225
Total, Total, Total, Brasov, Year 1999, Number of persons, 624999
Total, Total, Total, Brasov, Year 2000, Number of persons, 624007
Total, Total, Total, Brasov, Year 2001, Number of persons, 623271
Total, Total, Total, Brasov, Year 2002, Number of persons, 623221
Total, Total, Total, Brasov, Year 2003, Number of persons, 622785
Total, Total, Total, Brasov, Year 2004, Number of persons, 622928
Total, Total, Total, Brasov, Year 2005, Number of persons, 622939
