Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Tulcea, Year 2005, Number of persons, 259884
Total, Total, Total, Tulcea, Year 2006, Number of persons, 259314
Total, Total, Total, Tulcea, Year 2007, Number of persons, 258172
Total, Total, Total, Tulcea, Year 2008, Number of persons, 257108
Total, Total, Total, Tulcea, Year 2009, Number of persons, 256021
Total, Total, Total, Tulcea, Year 2010, Number of persons, 254894
Total, Total, Total, Tulcea, Year 2011, Number of persons, 252936
Total, Total, Total, Vrancea, Year 1992, Number of persons, 408169
Total, Total, Total, Vrancea, Year 1993, Number of persons, 407107
Total, Total, Total, Vrancea, Year 1994, Number of persons, 406706
Total, Total, Total, Vrancea, Year 1995, Number of persons, 405686
Total, Total, Total, Vrancea, Year 1996, Number of persons, 405059
Total, Total, Total, Vrancea, Year 1997, Number of persons, 403818
Total, Total, Total, Vrancea, Year 1998, Number of persons, 402978
Total, Total, Total, Vrancea, Year 1999, Number of persons, 402344
Total, Total, Total, Vrancea, Year 2000, Number of persons, 402099
Total, Total, Total, Vrancea, Year 2001, Number of persons, 401727
Total, Total, Total, Vrancea, Year 2002, Number of persons, 401245
Total, Total, Total, Vrancea, Year 2003, Number of persons, 400809
Total, Total, Total, Vrancea, Year 2004, Number of persons, 400603
Total, Total, Total, Vrancea, Year 2005, Number of persons, 400423
Total, Total, Total, Vrancea, Year 2006, Number of persons, 400064
Total, Total, Total, Vrancea, Year 2007, Number of persons, 399527
Total, Total, Total, Vrancea, Year 2008, Number of persons, 399405
Total, Total, Total, Vrancea, Year 2009, Number of persons, 399345
Total, Total, Total, Vrancea, Year 2010, Number of persons, 398690
Total, Total, Total, Vrancea, Year 2011, Number of persons, 398076
Total, Total, Total, Arges, Year 1992, Number of persons, 680670
Total, Total, Total, Arges, Year 1993, Number of persons, 681456
Total, Total, Total, Arges, Year 1994, Number of persons, 682034
Total, Total, Total, Arges, Year 1995, Number of persons, 682033
Total, Total, Total, Arges, Year 1996, Number of persons, 680729
Total, Total, Total, Arges, Year 1997, Number of persons, 679127
Total, Total, Total, Arges, Year 1998, Number of persons, 677710
Total, Total, Total, Arges, Year 1999, Number of persons, 676390
Total, Total, Total, Arges, Year 2000, Number of persons, 675583
Total, Total, Total, Arges, Year 2001, Number of persons, 674530
Total, Total, Total, Arges, Year 2002, Number of persons, 672538
Total, Total, Total, Arges, Year 2003, Number of persons, 670067
Total, Total, Total, Arges, Year 2004, Number of persons, 668567
Total, Total, Total, Arges, Year 2005, Number of persons, 666747
Total, Total, Total, Arges, Year 2006, Number of persons, 665394
Total, Total, Total, Arges, Year 2007, Number of persons, 664403
Total, Total, Total, Arges, Year 2008, Number of persons, 665041
Total, Total, Total, Arges, Year 2009, Number of persons, 664279
Total, Total, Total, Arges, Year 2010, Number of persons, 662359
Total, Total, Total, Arges, Year 2011, Number of persons, 660054
Total, Total, Total, Calarasi, Year 1992, Number of persons, 343998
Total, Total, Total, Calarasi, Year 1993, Number of persons, 342808
Total, Total, Total, Calarasi, Year 1994, Number of persons, 341756
Total, Total, Total, Calarasi, Year 1995, Number of persons, 340400
Total, Total, Total, Calarasi, Year 1996, Number of persons, 339212
Total, Total, Total, Calarasi, Year 1997, Number of persons, 337801
Total, Total, Total, Calarasi, Year 1998, Number of persons, 336834
Total, Total, Total, Calarasi, Year 1999, Number of persons, 336271
Total, Total, Total, Calarasi, Year 2000, Number of persons, 336346
Total, Total, Total, Calarasi, Year 2001, Number of persons, 336509
Total, Total, Total, Calarasi, Year 2002, Number of persons, 334478
Total, Total, Total, Calarasi, Year 2003, Number of persons, 333927
Total, Total, Total, Calarasi, Year 2004, Number of persons, 333063
Total, Total, Total, Calarasi, Year 2005, Number of persons, 332012
Total, Total, Total, Calarasi, Year 2006, Number of persons, 331283
Total, Total, Total, Calarasi, Year 2007, Number of persons, 330242
Total, Total, Total, Calarasi, Year 2008, Number of persons, 329329
Total, Total, Total, Calarasi, Year 2009, Number of persons, 328779
Total, Total, Total, Calarasi, Year 2010, Number of persons, 327904
Total, Total, Total, Calarasi, Year 2011, Number of persons, 326475
Total, Total, Total, Dambovita, Year 1992, Number of persons, 556176
Total, Total, Total, Dambovita, Year 1993, Number of persons, 555251
Total, Total, Total, Dambovita, Year 1994, Number of persons, 554438
Total, Total, Total, Dambovita, Year 1995, Number of persons, 553760
Total, Total, Total, Dambovita, Year 1996, Number of persons, 552443
Total, Total, Total, Dambovita, Year 1997, Number of persons, 550739
Total, Total, Total, Dambovita, Year 1998, Number of persons, 549800
Total, Total, Total, Dambovita, Year 1999, Number of persons, 549038
Total, Total, Total, Dambovita, Year 2000, Number of persons, 548237
Total, Total, Total, Dambovita, Year 2001, Number of persons, 547866
Total, Total, Total, Dambovita, Year 2002, Number of persons, 547034
Total, Total, Total, Dambovita, Year 2003, Number of persons, 545464
Total, Total, Total, Dambovita, Year 2004, Number of persons, 543796
Total, Total, Total, Dambovita, Year 2005, Number of persons, 543001
Total, Total, Total, Dambovita, Year 2006, Number of persons, 541634
Total, Total, Total, Dambovita, Year 2007, Number of persons, 540137
Total, Total, Total, Dambovita, Year 2008, Number of persons, 538712
Total, Total, Total, Dambovita, Year 2009, Number of persons, 538404
Total, Total, Total, Dambovita, Year 2010, Number of persons, 537994
Total, Total, Total, Dambovita, Year 2011, Number of persons, 537416
Total, Total, Total, Giurgiu, Year 1992, Number of persons, 314717
Total, Total, Total, Giurgiu, Year 1993, Number of persons, 311638
Total, Total, Total, Giurgiu, Year 1994, Number of persons, 308645
Total, Total, Total, Giurgiu, Year 1995, Number of persons, 306333
Total, Total, Total, Giurgiu, Year 1996, Number of persons, 303894
Total, Total, Total, Giurgiu, Year 1997, Number of persons, 301712
Total, Total, Total, Giurgiu, Year 1998, Number of persons, 300091
Total, Total, Total, Giurgiu, Year 1999, Number of persons, 298524
Total, Total, Total, Giurgiu, Year 2000, Number of persons, 297157
Total, Total, Total, Giurgiu, Year 2001, Number of persons, 296424
Total, Total, Total, Giurgiu, Year 2002, Number of persons, 294894
Total, Total, Total, Giurgiu, Year 2003, Number of persons, 293382
Total, Total, Total, Giurgiu, Year 2004, Number of persons, 291391
Total, Total, Total, Giurgiu, Year 2005, Number of persons, 290059
Total, Total, Total, Giurgiu, Year 2006, Number of persons, 288515
Total, Total, Total, Giurgiu, Year 2007, Number of persons, 287259
Total, Total, Total, Giurgiu, Year 2008, Number of persons, 286040
Total, Total, Total, Giurgiu, Year 2009, Number of persons, 285491
Total, Total, Total, Giurgiu, Year 2010, Number of persons, 284198
Total, Total, Total, Giurgiu, Year 2011, Number of persons, 283254
Total, Total, Total, Ialomita, Year 1992, Number of persons, 312062
Total, Total, Total, Ialomita, Year 1993, Number of persons, 310899
Total, Total, Total, Ialomita, Year 1994, Number of persons, 310514
Total, Total, Total, Ialomita, Year 1995, Number of persons, 310585
Total, Total, Total, Ialomita, Year 1996, Number of persons, 310683
Total, Total, Total, Ialomita, Year 1997, Number of persons, 309893
Total, Total, Total, Ialomita, Year 1998, Number of persons, 309814
Total, Total, Total, Ialomita, Year 1999, Number of persons, 309865
Total, Total, Total, Ialomita, Year 2000, Number of persons, 309984
Total, Total, Total, Ialomita, Year 2001, Number of persons, 310060
Total, Total, Total, Ialomita, Year 2002, Number of persons, 309145
Total, Total, Total, Ialomita, Year 2003, Number of persons, 308953
Total, Total, Total, Ialomita, Year 2004, Number of persons, 308062
Total, Total, Total, Ialomita, Year 2005, Number of persons, 307480
Total, Total, Total, Ialomita, Year 2006, Number of persons, 306870
Total, Total, Total, Ialomita, Year 2007, Number of persons, 306077
Total, Total, Total, Ialomita, Year 2008, Number of persons, 305343
Total, Total, Total, Ialomita, Year 2009, Number of persons, 304288
Total, Total, Total, Ialomita, Year 2010, Number of persons, 303532
Total, Total, Total, Ialomita, Year 2011, Number of persons, 302177
Total, Total, Total, Prahova, Year 1992, Number of persons, 873668
Total, Total, Total, Prahova, Year 1993, Number of persons, 872601
Total, Total, Total, Prahova, Year 1994, Number of persons, 871555
Total, Total, Total, Prahova, Year 1995, Number of persons, 870043
Total, Total, Total, Prahova, Year 1996, Number of persons, 867246
Total, Total, Total, Prahova, Year 1997, Number of persons, 863891
Total, Total, Total, Prahova, Year 1998, Number of persons, 860721
Total, Total, Total, Prahova, Year 1999, Number of persons, 858260
Total, Total, Total, Prahova, Year 2000, Number of persons, 855931
Total, Total, Total, Prahova, Year 2001, Number of persons, 854759
Total, Total, Total, Prahova, Year 2002, Number of persons, 852336
Total, Total, Total, Prahova, Year 2003, Number of persons, 849232
Total, Total, Total, Prahova, Year 2004, Number of persons, 846132
Total, Total, Total, Prahova, Year 2005, Number of persons, 843968
Total, Total, Total, Prahova, Year 2006, Number of persons, 842300
Total, Total, Total, Prahova, Year 2007, Number of persons, 840017
Total, Total, Total, Prahova, Year 2008, Number of persons, 838485
Total, Total, Total, Prahova, Year 2009, Number of persons, 836146
Total, Total, Total, Prahova, Year 2010, Number of persons, 833823
Total, Total, Total, Prahova, Year 2011, Number of persons, 830370
Total, Total, Total, Teleorman, Year 1992, Number of persons, 493702
Total, Total, Total, Teleorman, Year 1993, Number of persons, 489440
Total, Total, Total, Teleorman, Year 1994, Number of persons, 485845
Total, Total, Total, Teleorman, Year 1995, Number of persons, 482035
Total, Total, Total, Teleorman, Year 1996, Number of persons, 478768
Total, Total, Total, Teleorman, Year 1997, Number of persons, 473896
Total, Total, Total, Teleorman, Year 1998, Number of persons, 470250
Total, Total, Total, Teleorman, Year 1999, Number of persons, 466895
Total, Total, Total, Teleorman, Year 2000, Number of persons, 463388
Total, Total, Total, Teleorman, Year 2001, Number of persons, 460633
Total, Total, Total, Teleorman, Year 2002, Number of persons, 456142
Total, Total, Total, Teleorman, Year 2003, Number of persons, 451218
Total, Total, Total, Teleorman, Year 2004, Number of persons, 446001
Total, Total, Total, Teleorman, Year 2005, Number of persons, 441200
Total, Total, Total, Teleorman, Year 2006, Number of persons, 436365
Total, Total, Total, Teleorman, Year 2007, Number of persons, 431675
Total, Total, Total, Teleorman, Year 2008, Number of persons, 427564
Total, Total, Total, Teleorman, Year 2009, Number of persons, 423186
Total, Total, Total, Teleorman, Year 2010, Number of persons, 418897
Total, Total, Total, Teleorman, Year 2011, Number of persons, 414205
Total, Total, Total, Ilfov, Year 1992, Number of persons, 277579
Total, Total, Total, Ilfov, Year 1993, Number of persons, 277934
Total, Total, Total, Ilfov, Year 1994, Number of persons, 278144
Total, Total, Total, Ilfov, Year 1995, Number of persons, 279243
Total, Total, Total, Ilfov, Year 1996, Number of persons, 278415
Total, Total, Total, Ilfov, Year 1997, Number of persons, 277525
Total, Total, Total, Ilfov, Year 1998, Number of persons, 277825
Total, Total, Total, Ilfov, Year 1999, Number of persons, 277879
Total, Total, Total, Ilfov, Year 2000, Number of persons, 277744
Total, Total, Total, Ilfov, Year 2001, Number of persons, 278871
Total, Total, Total, Ilfov, Year 2002, Number of persons, 278301
Total, Total, Total, Ilfov, Year 2003, Number of persons, 277268
Total, Total, Total, Ilfov, Year 2004, Number of persons, 279250
Total, Total, Total, Ilfov, Year 2005, Number of persons, 283509
Total, Total, Total, Ilfov, Year 2006, Number of persons, 286711
Total, Total, Total, Ilfov, Year 2007, Number of persons, 292087
Total, Total, Total, Ilfov, Year 2008, Number of persons, 298047
Total, Total, Total, Ilfov, Year 2009, Number of persons, 307938
Total, Total, Total, Ilfov, Year 2010, Number of persons, 316808
Total, Total, Total, Ilfov, Year 2011, Number of persons, 329932
Total, Total, Total, Bucharest Municipality, Year 1992, Number of persons, 2188461
Total, Total, Total, Bucharest Municipality, Year 1993, Number of persons, 2193408
Total, Total, Total, Bucharest Municipality, Year 1994, Number of persons, 2194663
Total, Total, Total, Bucharest Municipality, Year 1995, Number of persons, 2190949
Total, Total, Total, Bucharest Municipality, Year 1996, Number of persons, 2183749
Total, Total, Total, Bucharest Municipality, Year 1997, Number of persons, 2173506
Total, Total, Total, Bucharest Municipality, Year 1998, Number of persons, 2164586
Total, Total, Total, Bucharest Municipality, Year 1999, Number of persons, 2158469
Total, Total, Total, Bucharest Municipality, Year 2000, Number of persons, 2154404
Total, Total, Total, Bucharest Municipality, Year 2001, Number of persons, 2149490
Total, Total, Total, Bucharest Municipality, Year 2002, Number of persons, 2151764
Total, Total, Total, Bucharest Municipality, Year 2003, Number of persons, 2152089
Total, Total, Total, Bucharest Municipality, Year 2004, Number of persons, 2153192
Total, Total, Total, Bucharest Municipality, Year 2005, Number of persons, 2152890
Total, Total, Total, Bucharest Municipality, Year 2006, Number of persons, 2152639
Total, Total, Total, Bucharest Municipality, Year 2007, Number of persons, 2158585
Total, Total, Total, Bucharest Municipality, Year 2008, Number of persons, 2160871
Total, Total, Total, Bucharest Municipality, Year 2009, Number of persons, 2160640
Total, Total, Total, Bucharest Municipality, Year 2010, Number of persons, 2161906
Total, Total, Total, Bucharest Municipality, Year 2011, Number of persons, 2161874
Total, Total, Total, Dolj, Year 1992, Number of persons, 772654
Total, Total, Total, Dolj, Year 1993, Number of persons, 770534
Total, Total, Total, Dolj, Year 1994, Number of persons, 768867
Total, Total, Total, Dolj, Year 1995, Number of persons, 766686
Total, Total, Total, Dolj, Year 1996, Number of persons, 763174
Total, Total, Total, Dolj, Year 1997, Number of persons, 759344
Total, Total, Total, Dolj, Year 1998, Number of persons, 755946
Total, Total, Total, Dolj, Year 1999, Number of persons, 753880
Total, Total, Total, Dolj, Year 2000, Number of persons, 751817
Total, Total, Total, Dolj, Year 2001, Number of persons, 750850
Total, Total, Total, Dolj, Year 2002, Number of persons, 748612
Total, Total, Total, Dolj, Year 2003, Number of persons, 745320
Total, Total, Total, Dolj, Year 2004, Number of persons, 741495
Total, Total, Total, Dolj, Year 2005, Number of persons, 737841
Total, Total, Total, Dolj, Year 2006, Number of persons, 734698
Total, Total, Total, Dolj, Year 2007, Number of persons, 731228
Total, Total, Total, Dolj, Year 2008, Number of persons, 728295
Total, Total, Total, Dolj, Year 2009, Number of persons, 725464
Total, Total, Total, Dolj, Year 2010, Number of persons, 722251
Total, Total, Total, Dolj, Year 2011, Number of persons, 718662
Total, Total, Total, Gorj, Year 1992, Number of persons, 384507
Total, Total, Total, Gorj, Year 1993, Number of persons, 384885
Total, Total, Total, Gorj, Year 1994, Number of persons, 385801
Total, Total, Total, Gorj, Year 1995, Number of persons, 386739
Total, Total, Total, Gorj, Year 1996, Number of persons, 387219
Total, Total, Total, Gorj, Year 1997, Number of persons, 387379
Total, Total, Total, Gorj, Year 1998, Number of persons, 387333
Total, Total, Total, Gorj, Year 1999, Number of persons, 387094
Total, Total, Total, Gorj, Year 2000, Number of persons, 386755
Total, Total, Total, Gorj, Year 2001, Number of persons, 386619
Total, Total, Total, Gorj, Year 2002, Number of persons, 386051
Total, Total, Total, Gorj, Year 2003, Number of persons, 385535
Total, Total, Total, Gorj, Year 2004, Number of persons, 384943
Total, Total, Total, Gorj, Year 2005, Number of persons, 384339
Total, Total, Total, Gorj, Year 2006, Number of persons, 383598
Total, Total, Total, Gorj, Year 2007, Number of persons, 382332
Total, Total, Total, Gorj, Year 2008, Number of persons, 381300
Total, Total, Total, Gorj, Year 2009, Number of persons, 380075
Total, Total, Total, Gorj, Year 2010, Number of persons, 378708
Total, Total, Total, Gorj, Year 2011, Number of persons, 377200
Total, Total, Total, Mehedinti, Year 1992, Number of persons, 327674
Total, Total, Total, Mehedinti, Year 1993, Number of persons, 326819
Total, Total, Total, Mehedinti, Year 1994, Number of persons, 325902
Total, Total, Total, Mehedinti, Year 1995, Number of persons, 324758
Total, Total, Total, Mehedinti, Year 1996, Number of persons, 323504
Total, Total, Total, Mehedinti, Year 1997, Number of persons, 322251
Total, Total, Total, Mehedinti, Year 1998, Number of persons, 320789
Total, Total, Total, Mehedinti, Year 1999, Number of persons, 319550
Total, Total, Total, Mehedinti, Year 2000, Number of persons, 318669
Total, Total, Total, Mehedinti, Year 2001, Number of persons, 317705
Total, Total, Total, Mehedinti, Year 2002, Number of persons, 316057
Total, Total, Total, Mehedinti, Year 2003, Number of persons, 314672
Total, Total, Total, Mehedinti, Year 2004, Number of persons, 313112
Total, Total, Total, Mehedinti, Year 2005, Number of persons, 311541
Total, Total, Total, Mehedinti, Year 2006, Number of persons, 309827
Total, Total, Total, Mehedinti, Year 2007, Number of persons, 307612
Total, Total, Total, Mehedinti, Year 2008, Number of persons, 305042
Total, Total, Total, Mehedinti, Year 2009, Number of persons, 302821
Total, Total, Total, Mehedinti, Year 2010, Number of persons, 300756
Total, Total, Total, Mehedinti, Year 2011, Number of persons, 298143
Total, Total, Total, Olt, Year 1992, Number of persons, 528579
Total, Total, Total, Olt, Year 1993, Number of persons, 526355
Total, Total, Total, Olt, Year 1994, Number of persons, 524482
Total, Total, Total, Olt, Year 1995, Number of persons, 522919
Total, Total, Total, Olt, Year 1996, Number of persons, 520558
Total, Total, Total, Olt, Year 1997, Number of persons, 517834
Total, Total, Total, Olt, Year 1998, Number of persons, 515730
Total, Total, Total, Olt, Year 1999, Number of persons, 513419
Total, Total, Total, Olt, Year 2000, Number of persons, 511081
Total, Total, Total, Olt, Year 2001, Number of persons, 509113
Total, Total, Total, Olt, Year 2002, Number of persons, 505668
Total, Total, Total, Olt, Year 2003, Number of persons, 501770
Total, Total, Total, Olt, Year 2004, Number of persons, 498085
Total, Total, Total, Olt, Year 2005, Number of persons, 495203
Total, Total, Total, Olt, Year 2006, Number of persons, 492055
Total, Total, Total, Olt, Year 2007, Number of persons, 488146
Total, Total, Total, Olt, Year 2008, Number of persons, 484604
Total, Total, Total, Olt, Year 2009, Number of persons, 480287
Total, Total, Total, Olt, Year 2010, Number of persons, 476608
Total, Total, Total, Olt, Year 2011, Number of persons, 472009
Total, Total, Total, Valcea, Year 1992, Number of persons, 435159
Total, Total, Total, Valcea, Year 1993, Number of persons, 433888
Total, Total, Total, Valcea, Year 1994, Number of persons, 433166
Total, Total, Total, Valcea, Year 1995, Number of persons, 432482
Total, Total, Total, Valcea, Year 1996, Number of persons, 431368
Total, Total, Total, Valcea, Year 1997, Number of persons, 429987
Total, Total, Total, Valcea, Year 1998, Number of persons, 428523
Total, Total, Total, Valcea, Year 1999, Number of persons, 427045
Total, Total, Total, Valcea, Year 2000, Number of persons, 426356
Total, Total, Total, Valcea, Year 2001, Number of persons, 425642
Total, Total, Total, Valcea, Year 2002, Number of persons, 424948
Total, Total, Total, Valcea, Year 2003, Number of persons, 423731
Total, Total, Total, Valcea, Year 2004, Number of persons, 422325
Total, Total, Total, Valcea, Year 2005, Number of persons, 420977
Total, Total, Total, Valcea, Year 2006, Number of persons, 419560
Total, Total, Total, Valcea, Year 2007, Number of persons, 417737
Total, Total, Total, Valcea, Year 2008, Number of persons, 416295
Total, Total, Total, Valcea, Year 2009, Number of persons, 414893
Total, Total, Total, Valcea, Year 2010, Number of persons, 413687
Total, Total, Total, Valcea, Year 2011, Number of persons, 411976
Total, Total, Total, Arad, Year 1992, Number of persons, 491675
Total, Total, Total, Arad, Year 1993, Number of persons, 491152
Total, Total, Total, Arad, Year 1994, Number of persons, 489045
Total, Total, Total, Arad, Year 1995, Number of persons, 487669
Total, Total, Total, Arad, Year 1996, Number of persons, 486539
Total, Total, Total, Arad, Year 1997, Number of persons, 484743
Total, Total, Total, Arad, Year 1998, Number of persons, 484194
Total, Total, Total, Arad, Year 1999, Number of persons, 484410
Total, Total, Total, Arad, Year 2000, Number of persons, 484423
Total, Total, Total, Arad, Year 2001, Number of persons, 484884
Total, Total, Total, Arad, Year 2002, Number of persons, 484444
Total, Total, Total, Arad, Year 2003, Number of persons, 483708
Total, Total, Total, Arad, Year 2004, Number of persons, 483456
Total, Total, Total, Arad, Year 2005, Number of persons, 482919
Total, Total, Total, Arad, Year 2006, Number of persons, 481807
Total, Total, Total, Arad, Year 2007, Number of persons, 481419
Total, Total, Total, Arad, Year 2008, Number of persons, 481638
Total, Total, Total, Arad, Year 2009, Number of persons, 481765
Total, Total, Total, Arad, Year 2010, Number of persons, 480805
Total, Total, Total, Arad, Year 2011, Number of persons, 480473
Total, Total, Total, Caras-Severin, Year 1992, Number of persons, 374210
Total, Total, Total, Caras-Severin, Year 1993, Number of persons, 372173
Total, Total, Total, Caras-Severin, Year 1994, Number of persons, 370283
Total, Total, Total, Caras-Severin, Year 1995, Number of persons, 368191
Total, Total, Total, Caras-Severin, Year 1996, Number of persons, 365481
Total, Total, Total, Caras-Severin, Year 1997, Number of persons, 363055
Total, Total, Total, Caras-Severin, Year 1998, Number of persons, 360559
Total, Total, Total, Caras-Severin, Year 1999, Number of persons, 358850
Total, Total, Total, Caras-Severin, Year 2000, Number of persons, 356944
Total, Total, Total, Caras-Severin, Year 2001, Number of persons, 355265
Total, Total, Total, Caras-Severin, Year 2002, Number of persons, 354455
Total, Total, Total, Caras-Severin, Year 2003, Number of persons, 353922
Total, Total, Total, Caras-Severin, Year 2004, Number of persons, 353422
Total, Total, Total, Caras-Severin, Year 2005, Number of persons, 352629
Total, Total, Total, Caras-Severin, Year 2006, Number of persons, 351373
Total, Total, Total, Caras-Severin, Year 2007, Number of persons, 349636
Total, Total, Total, Caras-Severin, Year 2008, Number of persons, 347793
Total, Total, Total, Caras-Severin, Year 2009, Number of persons, 346172
Total, Total, Total, Caras-Severin, Year 2010, Number of persons, 344258
Total, Total, Total, Caras-Severin, Year 2011, Number of persons, 341789
Total, Total, Total, Hunedoara, Year 1992, Number of persons, 545299
Total, Total, Total, Hunedoara, Year 1993, Number of persons, 545027
Total, Total, Total, Hunedoara, Year 1994, Number of persons, 544525
Total, Total, Total, Hunedoara, Year 1995, Number of persons, 544036
Total, Total, Total, Hunedoara, Year 1996, Number of persons, 542493
Total, Total, Total, Hunedoara, Year 1997, Number of persons, 541304
Total, Total, Total, Hunedoara, Year 1998, Number of persons, 535615
Total, Total, Total, Hunedoara, Year 1999, Number of persons, 530887
Total, Total, Total, Hunedoara, Year 2000, Number of persons, 526797
Total, Total, Total, Hunedoara, Year 2001, Number of persons, 523662
Total, Total, Total, Hunedoara, Year 2002, Number of persons, 520910
Total, Total, Total, Hunedoara, Year 2003, Number of persons, 517275
Total, Total, Total, Hunedoara, Year 2004, Number of persons, 513744
Total, Total, Total, Hunedoara, Year 2005, Number of persons, 509580
Total, Total, Total, Hunedoara, Year 2006, Number of persons, 506344
Total, Total, Total, Hunedoara, Year 2007, Number of persons, 502593
Total, Total, Total, Hunedoara, Year 2008, Number of persons, 499521
Total, Total, Total, Hunedoara, Year 2009, Number of persons, 496391
Total, Total, Total, Hunedoara, Year 2010, Number of persons, 493479
Total, Total, Total, Hunedoara, Year 2011, Number of persons, 489548
Total, Total, Total, Timis, Year 1992, Number of persons, 707623
Total, Total, Total, Timis, Year 1993, Number of persons, 711830
Total, Total, Total, Timis, Year 1994, Number of persons, 713253
Total, Total, Total, Timis, Year 1995, Number of persons, 713334
Total, Total, Total, Timis, Year 1996, Number of persons, 712519
Total, Total, Total, Timis, Year 1997, Number of persons, 710981
Total, Total, Total, Timis, Year 1998, Number of persons, 710794
Total, Total, Total, Timis, Year 1999, Number of persons, 710508
Total, Total, Total, Timis, Year 2000, Number of persons, 709851
Total, Total, Total, Timis, Year 2001, Number of persons, 710141
Total, Total, Total, Timis, Year 2002, Number of persons, 710949
Total, Total, Total, Timis, Year 2003, Number of persons, 711267
Total, Total, Total, Timis, Year 2004, Number of persons, 711508
Total, Total, Total, Timis, Year 2005, Number of persons, 712359
Total, Total, Total, Timis, Year 2006, Number of persons, 713225
Total, Total, Total, Timis, Year 2007, Number of persons, 716420
Total, Total, Total, Timis, Year 2008, Number of persons, 720785
Total, Total, Total, Timis, Year 2009, Number of persons, 724277
Total, Total, Total, Timis, Year 2010, Number of persons, 727041
Total, Total, Total, Timis, Year 2011, Number of persons, 731044
